"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.07,176.99,176.96,176.99,177.04,177.08,177.09,177.06,177.03,176.99,176.96,176.9
2022,176.8,176.74,176.76,176.85,176.94,176.94,176.91,176.86,176.8,176.75,176.68,176.58
2023,176.47,176.41,176.37,176.4,176.46,176.49,176.5,176.47,176.41,176.34,176.3,176.28
2024,176.26,176.23,176.23,176.24,176.25,176.26,176.26,176.2,176.12,176.03,175.93,175.82
2025,175.75,175.72,175.7,175.76,175.95,176.12,176.19,176.22,176.23,176.23,176.22,176.18
2026,176.16,176.16,176.17,176.27,176.42,176.53,176.6,176.61,176.59,176.59,176.59,176.57
2027,176.52,176.46,176.44,176.48,176.6,176.71,176.78,176.8,176.77,176.69,176.6,176.5
2028,176.43,176.37,176.38,176.45,176.52,176.57,176.59,176.58,176.52,176.47,176.41,176.31
2029,176.26,176.26,176.25,176.33,176.46,176.57,176.63,176.63,176.59,176.56,176.55,176.52
2030,176.46,176.43,176.42,176.43,176.48,176.56,176.62,176.6,176.52,176.42,176.36,176.26
2031,176.17,176.18,176.28,176.39,176.48,176.58,176.66,176.66,176.63,176.59,176.53,176.48
2032,176.44,176.42,176.45,176.52,176.57,176.59,176.61,176.65,176.66,176.65,176.59,176.51
2033,176.47,176.45,176.43,176.49,176.63,176.73,176.81,176.85,176.86,176.86,176.8,176.71
2034,176.64,176.62,176.59,176.6,176.63,176.65,176.66,176.64,176.59,176.52,176.45,176.38
2035,176.32,176.29,176.35,176.45,176.54,176.6,176.62,176.59,176.55,176.57,176.61,176.64
2036,176.63,176.62,176.61,176.64,176.7,176.74,176.76,176.74,176.69,176.65,176.61,176.57
2037,176.55,176.53,176.54,176.58,176.66,176.74,176.78,176.8,176.76,176.74,176.72,176.65
2038,176.59,176.59,176.62,176.71,176.82,176.88,176.88,176.86,176.86,176.88,176.89,176.91
2039,176.88,176.81,176.81,176.93,177.15,177.35,177.44,177.47,177.52,177.58,177.59,177.55
2040,177.49,177.46,177.48,177.53,177.62,177.75,177.85,177.86,177.87,177.9,177.88,177.79
2041,177.68,177.6,177.57,177.65,177.85,178.05,178.17,178.2,178.14,178.12,178.07,177.97
2042,177.85,177.77,177.75,177.78,177.85,177.93,178,178,177.99,178.03,178,177.85
2043,177.71,177.64,177.62,177.65,177.69,177.75,177.79,177.75,177.72,177.69,177.63,177.53
2044,177.42,177.35,177.31,177.34,177.44,177.49,177.49,177.47,177.42,177.36,177.3,177.26
2045,177.21,177.17,177.19,177.25,177.31,177.34,177.33,177.31,177.28,177.24,177.16,177.1
2046,177.04,176.98,176.93,176.95,177.02,177.08,177.09,177.05,177.01,176.96,176.88,176.78
2047,176.7,176.66,176.66,176.71,176.78,176.8,176.82,176.82,176.82,176.79,176.72,176.64
2048,176.57,176.52,176.52,176.62,176.76,176.83,176.83,176.79,176.75,176.72,176.63,176.53
2049,176.5,176.5,176.48,176.53,176.63,176.73,176.8,176.8,176.72,176.63,176.55,176.46
2050,176.4,176.34,176.29,176.29,176.31,176.33,176.38,176.41,176.4,176.36,176.28,176.19
2051,176.12,176.07,176.09,176.17,176.22,176.28,176.35,176.38,176.45,176.48,176.42,176.34
2052,176.27,176.23,176.25,176.33,176.39,176.43,176.44,176.41,176.35,176.27,176.19,176.1
2053,176.03,176.04,176.06,176.17,176.33,176.47,176.56,176.6,176.62,176.6,176.58,176.57
2054,176.53,176.51,176.51,176.53,176.56,176.57,176.55,176.53,176.51,176.48,176.46,176.42
2055,176.39,176.41,176.42,176.46,176.55,176.65,176.69,176.66,176.61,176.53,176.42,176.27
2056,176.21,176.19,176.14,176.15,176.24,176.3,176.3,176.29,176.24,176.18,176.14,176.08
2057,176.02,175.99,175.98,176.03,176.16,176.27,176.32,176.36,176.35,176.31,176.28,176.23
2058,176.18,176.15,176.16,176.25,176.41,176.51,176.49,176.47,176.43,176.37,176.33,176.26
2059,176.19,176.18,176.25,176.39,176.54,176.63,176.67,176.66,176.63,176.6,176.55,176.48
2060,176.39,176.34,176.42,176.53,176.57,176.61,176.64,176.61,176.58,176.55,176.48,176.41
2061,176.36,176.33,176.37,176.48,176.56,176.58,176.58,176.55,176.54,176.6,176.62,176.51
2062,176.4,176.36,176.39,176.44,176.47,176.5,176.53,176.53,176.52,176.48,176.39,176.31
2063,176.25,176.22,176.17,176.17,176.21,176.23,176.23,176.22,176.2,176.13,176.04,175.97
2064,175.91,175.89,175.9,175.98,176.13,176.25,176.34,176.35,176.35,176.33,176.3,176.26
2065,176.23,176.21,176.18,176.21,176.27,176.28,176.29,176.29,176.27,176.24,176.2,176.14
2066,176.08,176.04,176.04,176.07,176.13,176.16,176.17,176.19,176.19,176.16,176.13,176.07
2067,176,175.98,175.99,176.04,176.13,176.2,176.25,176.3,176.36,176.45,176.47,176.43
2068,176.41,176.38,176.36,176.4,176.47,176.51,176.53,176.52,176.49,176.45,176.38,176.28
2069,176.19,176.15,176.14,176.19,176.32,176.4,176.42,176.41,176.36,176.29,176.25,176.18
2070,176.12,176.14,176.2,176.33,176.48,176.63,176.7,176.71,176.69,176.64,176.58,176.53
2071,176.49,176.45,176.45,176.5,176.58,176.67,176.74,176.76,176.74,176.7,176.63,176.56
2072,176.52,176.49,176.49,176.54,176.62,176.71,176.75,176.77,176.78,176.72,176.67,176.67
2073,176.66,176.61,176.57,176.6,176.67,176.72,176.75,176.74,176.66,176.62,176.61,176.56
2074,176.49,176.43,176.4,176.4,176.44,176.49,176.5,176.48,176.45,176.4,176.32,176.28
2075,176.25,176.22,176.22,176.28,176.38,176.5,176.58,176.6,176.6,176.59,176.56,176.52
2076,176.46,176.41,176.4,176.43,176.52,176.63,176.69,176.69,176.66,176.61,176.54,176.47
2077,176.44,176.44,176.43,176.51,176.65,176.73,176.75,176.76,176.7,176.59,176.5,176.42
2078,176.35,176.35,176.38,176.42,176.49,176.53,176.55,176.53,176.51,176.53,176.54,176.46
2079,176.44,176.44,176.42,176.46,176.53,176.54,176.54,176.55,176.55,176.56,176.56,176.52
2080,176.47,176.44,176.4,176.42,176.55,176.69,176.77,176.76,176.73,176.7,176.66,176.65
2081,176.61,176.6,176.61,176.61,176.65,176.69,176.68,176.67,176.65,176.57,176.49,176.42
2082,176.35,176.32,176.31,176.36,176.46,176.52,176.56,176.57,176.54,176.5,176.47,176.39
2083,176.31,176.28,176.3,176.36,176.43,176.48,176.48,176.48,176.45,176.35,176.28,176.21
2084,176.17,176.16,176.15,176.2,176.28,176.32,176.37,176.38,176.35,176.3,176.23,176.15
2085,176.08,176.05,176.09,176.15,176.25,176.33,176.35,176.34,176.3,176.29,176.28,176.21
2086,176.17,176.16,176.14,176.18,176.24,176.27,176.31,176.36,176.39,176.48,176.56,176.54
2087,176.5,176.48,176.46,176.52,176.66,176.76,176.79,176.76,176.71,176.71,176.73,176.69
2088,176.6,176.55,176.5,176.52,176.61,176.66,176.73,176.75,176.67,176.65,176.62,176.56
2089,176.51,176.44,176.45,176.55,176.7,176.81,176.84,176.82,176.8,176.79,176.77,176.74
2090,176.71,176.68,176.68,176.73,176.8,176.83,176.84,176.84,176.81,176.75,176.68,176.58
