"","ant.Oct.Eri.P","ant.Nov.Eri.P","ant.Dec.Eri.P","for.Jan.Eri.P","for.Feb.Eri.P","for.Mar.Eri.P","for.Apr.Eri.P","for.May.Eri.P","for.Jun.Eri.P","for.Jul.Eri.P","for.Aug.Eri.P","for.Sep.Eri.P","for.Oct.Eri.P","for.Nov.Eri.P","for.Dec.Eri.P","ant.Oct.Eri.E","ant.Nov.Eri.E","ant.Dec.Eri.E","for.Jan.Eri.E","for.Feb.Eri.E","for.Mar.Eri.E","for.Apr.Eri.E","for.May.Eri.E","for.Jun.Eri.E","for.Jul.Eri.E","for.Aug.Eri.E","for.Sep.Eri.E","for.Oct.Eri.E","for.Nov.Eri.E","for.Dec.Eri.E","ant.Oct.Eri.R","ant.Nov.Eri.R","ant.Dec.Eri.R","for.Jan.Eri.R","for.Feb.Eri.R","for.Mar.Eri.R","for.Apr.Eri.R","for.May.Eri.R","for.Jun.Eri.R","for.Jul.Eri.R","for.Aug.Eri.R","for.Sep.Eri.R","for.Oct.Eri.R","for.Nov.Eri.R","for.Dec.Eri.R","ant.Oct.Ont.P","ant.Nov.Ont.P","ant.Dec.Ont.P","for.Jan.Ont.P","for.Feb.Ont.P","for.Mar.Ont.P","for.Apr.Ont.P","for.May.Ont.P","for.Jun.Ont.P","for.Jul.Ont.P","for.Aug.Ont.P","for.Sep.Ont.P","for.Oct.Ont.P","for.Nov.Ont.P","for.Dec.Ont.P","ant.Oct.Ont.E","ant.Nov.Ont.E","ant.Dec.Ont.E","for.Jan.Ont.E","for.Feb.Ont.E","for.Mar.Ont.E","for.Apr.Ont.E","for.May.Ont.E","for.Jun.Ont.E","for.Jul.Ont.E","for.Aug.Ont.E","for.Sep.Ont.E","for.Oct.Ont.E","for.Nov.Ont.E","for.Dec.Ont.E","ant.Oct.Ont.R","ant.Nov.Ont.R","ant.Dec.Ont.R","for.Jan.Ont.R","for.Feb.Ont.R","for.Mar.Ont.R","for.Apr.Ont.R","for.May.Ont.R","for.Jun.Ont.R","for.Jul.Ont.R","for.Aug.Ont.R","for.Sep.Ont.R","for.Oct.Ont.R","for.Nov.Ont.R","for.Dec.Ont.R","ant.Oct.MiH.P","ant.Nov.MiH.P","ant.Dec.MiH.P","for.Jan.MiH.P","for.Feb.MiH.P","for.Mar.MiH.P","for.Apr.MiH.P","for.May.MiH.P","for.Jun.MiH.P","for.Jul.MiH.P","for.Aug.MiH.P","for.Sep.MiH.P","for.Oct.MiH.P","for.Nov.MiH.P","for.Dec.MiH.P","ant.Oct.MiH.E","ant.Nov.MiH.E","ant.Dec.MiH.E","for.Jan.MiH.E","for.Feb.MiH.E","for.Mar.MiH.E","for.Apr.MiH.E","for.May.MiH.E","for.Jun.MiH.E","for.Jul.MiH.E","for.Aug.MiH.E","for.Sep.MiH.E","for.Oct.MiH.E","for.Nov.MiH.E","for.Dec.MiH.E","ant.Oct.MiH.R","ant.Nov.MiH.R","ant.Dec.MiH.R","for.Jan.MiH.R","for.Feb.MiH.R","for.Mar.MiH.R","for.Apr.MiH.R","for.May.MiH.R","for.Jun.MiH.R","for.Jul.MiH.R","for.Aug.MiH.R","for.Sep.MiH.R","for.Oct.MiH.R","for.Nov.MiH.R","for.Dec.MiH.R","ant.Oct.Sup.P","ant.Nov.Sup.P","ant.Dec.Sup.P","for.Jan.Sup.P","for.Feb.Sup.P","for.Mar.Sup.P","for.Apr.Sup.P","for.May.Sup.P","for.Jun.Sup.P","for.Jul.Sup.P","for.Aug.Sup.P","for.Sep.Sup.P","for.Oct.Sup.P","for.Nov.Sup.P","for.Dec.Sup.P","ant.Oct.Sup.E","ant.Nov.Sup.E","ant.Dec.Sup.E","for.Jan.Sup.E","for.Feb.Sup.E","for.Mar.Sup.E","for.Apr.Sup.E","for.May.Sup.E","for.Jun.Sup.E","for.Jul.Sup.E","for.Aug.Sup.E","for.Sep.Sup.E","for.Oct.Sup.E","for.Nov.Sup.E","for.Dec.Sup.E","ant.Oct.Sup.R","ant.Nov.Sup.R","ant.Dec.Sup.R","for.Jan.Sup.R","for.Feb.Sup.R","for.Mar.Sup.R","for.Apr.Sup.R","for.May.Sup.R","for.Jun.Sup.R","for.Jul.Sup.R","for.Aug.Sup.R","for.Sep.Sup.R","for.Oct.Sup.R","for.Nov.Sup.R","for.Dec.Sup.R","ant.Oct.StC.P","ant.Nov.StC.P","ant.Dec.StC.P","for.Jan.StC.P","for.Feb.StC.P","for.Mar.StC.P","for.Apr.StC.P","for.May.StC.P","for.Jun.StC.P","for.Jul.StC.P","for.Aug.StC.P","for.Sep.StC.P","for.Oct.StC.P","for.Nov.StC.P","for.Dec.StC.P","ant.Oct.StC.E","ant.Nov.StC.E","ant.Dec.StC.E","for.Jan.StC.E","for.Feb.StC.E","for.Mar.StC.E","for.Apr.StC.E","for.May.StC.E","for.Jun.StC.E","for.Jul.StC.E","for.Aug.StC.E","for.Sep.StC.E","for.Oct.StC.E","for.Nov.StC.E","for.Dec.StC.E","ant.Oct.StC.R","ant.Nov.StC.R","ant.Dec.StC.R","for.Jan.StC.R","for.Feb.StC.R","for.Mar.StC.R","for.Apr.StC.R","for.May.StC.R","for.Jun.StC.R","for.Jul.StC.R","for.Aug.StC.R","for.Sep.StC.R","for.Oct.StC.R","for.Nov.StC.R","for.Dec.StC.R"
"41",103.55,61.59,157.21,49.92,37.85,69.63,92.22,77.38,26.43,60.39,77.16,43.81,102.85,59.15,48.83,176.85609,135.464948,74.401464,43.313438,16.048361,14.229934,4.007629,14.553087,44.32596,98.945005,110.986858,203.719513,163.009129,145.712588,84.765114,51.4,28.73,202.67,112.19,108.04,119.39,122.03,41.88,16.89,10.32,11.72,6.77,16.3,26.7,46.4,128.35,54.44,127.86,54.62,39.38,102.96,103.59,75.97,21.44,59.6,63.14,65.83,65.08,53.19,64.86,73.889,90.076,102.41,113.21,45.388,35.812,7.2449,2.155,22.801,55.668,57.343,113.29,64.485,89.318,109.8,137.4,138.7,229.3,212.8,174.1,314.3,291.5,154.2,62.5,44.9,37.5,32.9,55.9,57.5,115,107.72,97.12,66.68,44.24,30.78,91.94,96.19,93.56,38.22,97.86,42.92,83.52,139.21,81.17,58.57,84.522982,90.262649,113.025339,85.956513,39.085905,26.196413,4.485992,-3.098916,-0.736928,23.806405,50.163592,107.823296,76.427515,122.532239,100.506388,62.8,75,77.3,56.5,54.1,96.4,146.6,88.2,40.9,25.8,24,21.2,46.3,67.8,80.9,95.83,44.47,46.94,52.16,25.24,59,63.3,77.77,74.12,95.52,45.92,114.71,94.78,105.49,43.46,64.793786,98.394769,128.610024,106.956848,48.746025,28.109094,13.858502,2.232916,-4.21372,-3.317562,8.277096,71.484995,62.090179,94.539815,105.231936,40.18,28.03,18.93,13.83,16.56,26.69,77.72,79.5,46.14,36.18,21.81,22.49,34.46,48.59,25.9,98.65,74.55,94.46,32.19,28.49,64.83,77.65,94.6,42.72,57.26,61.74,18.13,103.16,62.73,40.95,80.3786,38.4478,32.513,42.8431,36.2004,35.5371,49.0116,112.8971,166.6075,191.6298,152.1995,145.131,73.865,41.7651,31.2472,300.36,378.11,480.41,320.42,275.56,620.2,501.19,199.09,97.19,58.89,46.45,40.04,96.96,206.56,252.36
"42",102.85,59.15,48.83,55.7,45.46,66.87,90.37,55.45,55.05,177.19,104.59,128.91,65.38,130.48,68.22,163.009129,145.712588,84.765114,33.718738,17.805349,19.319319,2.922393,17.925106,38.949779,60.809096,101.009315,128.697323,154.653456,132.874348,74.02047,16.3,26.7,46.4,60.95,82.43,98.07,128.95,42.05,25.36,81.2,36.74,84.88,43.62,155.72,83,65.08,53.19,64.86,60.11,50.33,79.77,86.53,77,38.84,152.11,108.41,93.27,66.76,101.91,71.12,64.485,89.318,109.8,95.949,53.48,54.703,11.642,4.3158,21.754,39.571,53.147,76.269,82.586,71.289,113.43,55.9,57.5,115,117,102.8,211.8,333.9,174,86,90.2,102.9,96.2,107.4,219.5,187.1,139.21,81.17,58.57,51.99,46.21,55.91,69.25,35.1,47.45,94.76,73.61,124.12,55.15,122.91,61.34,76.427515,122.532239,100.506388,60.991933,35.464232,40.583193,10.615067,4.279721,0.258516,7.002658,23.31767,49.823651,59.469699,77.447296,109.233411,46.3,67.8,80.9,59.5,45.7,78.2,113.3,74,35.8,41.4,35,46,49.7,94.9,67.8,94.78,105.49,43.46,43.23,40.42,22.24,53.25,59.91,49.7,105.42,93.29,131.25,48.53,62.34,80.59,62.090179,94.539815,105.231936,83.591654,52.673738,50.342647,20.973336,4.072965,-3.759852,-3.473708,14.072713,34.325468,50.079879,89.219285,107.056111,34.46,48.59,25.9,19.05,14.45,19.89,62.31,102.7,45.24,49.68,26.71,48.75,42.1,34.8,26.7,103.16,62.73,40.95,53,44.02,60.08,95.31,50.25,60.52,150.93,107.81,124.79,62.46,117.82,48.65,73.865,41.7651,31.2472,42.6863,37.5442,38.1421,50.273,122.5144,136.0901,163.1024,150.8102,129.8866,77.5942,36.3069,34.6582,96.96,206.56,252.36,195.79,402.65,600.42,627.62,202.99,71.29,150.75,98.71,193.73,224.86,773.68,238.45
"43",65.38,130.48,68.22,100.57,44.88,72.05,82.53,37.69,116.1,60.56,40.71,107.59,68,84.67,44.33,154.653456,132.874348,74.02047,28.265492,25.871917,11.167572,3.439913,9.013997,20.567117,63.959684,87.103104,189.48698,168.430916,108.545483,92.461141,43.62,155.72,83,227.73,42.47,214.94,137.96,39.61,79.01,21.74,13.34,15.48,13.85,92.22,45.25,66.76,101.91,71.12,92.17,54.42,54.73,103.43,46.07,94.51,49.26,52.23,96.9,73.43,81.21,55.74,82.586,71.289,113.43,96.814,68.408,37.078,7.4408,0.21383,1.9132,31.584,47.837,98.372,85.814,82.961,106.83,107.4,219.5,187.1,262.3,107.4,173.7,481.4,196.1,132.5,55.2,38.6,41.7,88.3,125.3,160.1,55.15,122.91,61.34,70.12,26.71,28.09,97.7,83.35,120.01,68.4,82.65,105.73,72.86,59.8,38.57,59.469699,77.447296,109.233411,76.4343,48.604224,32.555896,2.674306,-1.669262,-6.125806,-0.461197,27.228401,86.477361,95.198914,99.271998,97.519966,49.7,94.9,67.8,78.4,43.3,63.7,132.7,89.6,90.2,52,29,36.1,51.6,50,48.5,48.53,62.34,80.59,44.45,15.44,19.18,74.83,99.9,75.4,124.67,75.5,79.24,65.51,46.81,38.29,50.079879,89.219285,107.056111,95.59915,76.970675,43.373326,10.919003,-0.771542,-4.239157,-3.530629,1.736605,73.40134,76.322145,103.409634,92.034767,42.1,34.8,26.7,19.98,12.12,19.41,70.85,97.35,67.09,50.42,35.52,25.64,33.28,26.73,22.48,62.46,117.82,48.65,87.71,28.31,41.9,85.9,48.33,101.58,58.44,52.31,101.86,55.04,38.51,19.26,77.5942,36.3069,34.6582,46.1439,45.9962,37.5258,48.1025,90.8098,133.0667,174.7806,152.2041,136.2474,78.145,36.8136,36.164,224.86,773.68,238.45,795.59,134.22,589.59,812.15,228.03,97.57,47.2,55.96,49.76,56.49,78.25,121.17
"44",68,84.67,44.33,73.25,34.13,52.64,101.19,44.45,110.51,63.57,99.66,46.21,37.53,72.09,63.32,168.430916,108.545483,92.461141,37.962894,16.640191,13.428829,0.060184,15.293056,24.655327,53.168318,97.084653,124.055237,144.28777,170.086745,68.685623,13.85,92.22,45.25,35.72,94,127.44,164.71,33.58,52.36,30.49,32.54,13.94,14.66,20.57,86.54,73.43,81.21,55.74,80.91,43.67,60.51,83.94,79.06,75.34,51.02,87.73,66.14,21.09,95.02,49.54,85.814,82.961,106.83,113.78,56.257,26.771,4.9741,0.99045,-1.3671,12.293,63.741,66.403,69.967,88.137,78.05,88.3,125.3,160.1,75.2,108.1,214.4,392.8,180.3,91.3,64.2,55,48.5,51.7,113.1,138.5,72.86,59.8,38.57,63.38,46.2,39.98,64.8,59.74,90.04,110.73,108.02,72.15,51.35,90.89,25.31,95.198914,99.271998,97.519966,79.32147,29.355952,17.364122,13.48843,3.243589,-0.584353,3.452539,39.332725,44.849738,74.605629,116.061423,95.117303,51.6,50,48.5,34.2,50.9,77.7,85,70.3,44.6,52.9,33.4,33.4,32.7,53,50.1,65.51,46.81,38.29,47.87,24.56,33.87,72.13,66.45,79.1,95,88.85,78.77,48.17,55.83,21.22,76.322145,103.409634,92.034767,110.229855,30.598863,31.150053,9.251395,1.487541,-4.272159,-3.860665,16.15341,15.40094,65.876039,99.912827,100.684458,33.28,26.73,22.48,15.02,17.23,21.28,65.54,78.86,55.24,40.24,28.46,30.89,20.22,20.19,18.53,55.04,38.51,19.26,63.43,27.94,58.1,86.25,57.68,135.94,60.49,73.39,50.33,41.33,58.39,45.97,78.145,36.8136,36.164,44.0746,35.6781,36.5996,49.8092,74.8693,153.4324,170.9969,160.0362,132.067,80.4355,47.3372,28.1355,56.49,78.25,121.17,78.76,274.51,751.25,441.93,233.69,131.19,77.37,45.91,45.47,59.91,109.39,196.95
"45",37.53,72.09,63.32,97.34,31.31,44.23,88.96,85.01,65.76,69.63,81.12,29.28,116.36,93.24,38.19,144.28777,170.086745,68.685623,40.041454,24.939741,18.185868,5.381827,15.605754,31.069609,64.168254,117.993405,182.270879,179.821985,160.877251,84.34562,14.66,20.57,86.54,117.6,48.82,85.7,112.37,49.67,23.42,19.06,7.95,6.31,33.92,73.59,28.52,21.09,95.02,49.54,98,43.92,33.21,50.8,52.85,28.53,85.98,55.12,55.92,166.73,113.58,42.49,69.967,88.137,78.05,95.956,79.503,31.342,21.767,2.5602,10.688,38.113,78.281,94.515,74.198,119.12,141.09,51.7,113.1,138.5,211.9,111.9,181.7,109.5,90.7,56.6,41,34.1,33.2,154.6,222.9,111.4,51.35,90.89,25.31,66.49,33.15,46.28,81.36,79.98,50.55,80.03,100.25,61.57,103,106.59,55.02,74.605629,116.061423,95.117303,82.585338,77.146255,30.802442,15.756555,-3.233442,-2.080801,7.555045,32.738371,89.502107,82.225723,128.071202,123.112337,32.7,53,50.1,58.5,31.2,78.2,76.3,93.5,53.9,34.8,31.8,26.2,38.6,81.4,47.3,48.17,55.83,21.22,42.94,47.85,32.06,38.86,78.18,33.46,105.58,79.48,119.25,135.08,65.78,58.87,65.876039,99.912827,100.684458,111.974392,87.960588,45.716969,24.572078,3.991195,-4.117507,-3.637547,3.31148,70.108287,60.39465,122.501354,124.202778,20.22,20.19,18.53,12.29,9.1,34.79,44.3,67.94,36.46,35.69,24.35,21.39,65.49,41.15,19.22,41.33,58.39,45.97,74.34,25.72,42.04,84.25,85.93,53.09,52.73,79.09,24.46,90.81,98.71,22.42,80.4355,47.3372,28.1355,45.992,44.7048,35.1084,50.9389,99.6515,135.742,179.0332,164.1487,135.3922,81.8064,42.5595,37.8679,59.91,109.39,196.95,396.06,53.94,699.92,405.62,278.73,146.97,60.6,52.56,39.86,164.73,478.1,89.76
"46",116.36,93.24,38.19,71.52,43.84,54.65,117.51,97.01,118.78,85.05,32.98,156.38,75.96,75.58,87.86,179.821985,160.877251,84.34562,41.547601,22.781701,18.318599,9.584838,-1.2278,11.550738,57.347393,87.185921,129.857798,158.08948,126.648975,61.156268,33.92,73.59,28.52,91.22,62.8,101.71,81.64,151.78,98.09,35.18,17.17,63.15,29.84,95.65,165.17,166.73,113.58,42.49,92.95,58.31,40.09,111.03,99.33,97.93,82.06,48.29,141.84,79.46,84.71,90.71,74.198,119.12,141.09,84.661,50.827,52.479,11.937,1.4667,-1.6488,26.27,50.85,77.385,78.753,98.426,80.935,154.6,222.9,111.4,206.2,225,203.2,290.1,318,133.5,81.2,46.8,74.5,115.4,215.2,263.8,103,106.59,55.02,71.14,48.21,36.56,93.1,68.73,118.87,90.84,46.03,108.81,81.66,55.61,84.61,82.225723,128.071202,123.112337,53.764714,30.05249,45.086399,-1.573503,-3.164338,-4.813816,6.138975,18.10449,50.645259,67.387541,110.429478,83.122737,38.6,81.4,47.3,57.4,58.6,63.4,128.5,150.3,89.4,46.1,35.3,38.8,45.7,62.1,65.1,135.08,65.78,58.87,93.01,62.29,32.61,68.86,49.34,86.38,128.13,77.29,86.47,102.49,65.08,67.6,60.39465,122.501354,124.202778,103.312074,45.919143,36.48498,12.287974,-1.211537,-4.612536,-4.660885,-10.032384,29.17951,53.493164,107.999317,108.287614,65.49,41.15,19.22,14.98,14.45,17.87,70.43,166.27,91.17,57.93,41.85,27.38,36.74,47.07,24.19,90.81,98.71,22.42,53.29,40.21,36.95,114.1,91.36,135.03,75.72,34.09,202.01,65.42,43.47,74.8,81.8064,42.5595,37.8679,42.5231,35.8701,38.7193,49.9818,63.8553,97.9288,186.5873,158.8613,138.7342,79.5762,43.3737,26.4607,164.73,478.1,89.76,439.77,416.25,340.89,792.16,632.02,371.4,77.52,64.4,340.71,316.71,211.26,517.74
"47",75.96,75.58,87.86,64.65,92.45,94.44,38.32,132.5,103.85,70.13,99.18,85.16,50.87,56.77,55.07,158.08948,126.648975,61.156268,32.848227,1.778274,14.193396,4.229459,-2.36914,15.489635,66.510986,97.309812,122.998538,149.536841,111.220526,62.24595,29.84,95.65,165.17,92.23,195.59,198.05,80.93,157.63,129.27,35.76,37.88,44.15,27.51,59.01,92.66,79.46,84.71,90.71,81.96,74.96,89.13,40.53,66.39,71.31,47.96,76.57,97.31,45.67,80.03,49.45,78.753,98.426,80.935,117.71,36.416,46.509,14.339,2.3046,-1.0282,31.668,55.104,72.171,85.058,85.455,89.221,115.4,215.2,263.8,177.9,185.2,292.2,277.4,193.2,93.1,52.5,45.6,46.5,75.6,128.8,137.4,81.66,55.61,84.61,96.76,75.29,58.02,29.89,84.85,63.43,66.68,91.66,76.98,50.81,43.71,29.43,67.387541,110.429478,83.122737,80.759277,25.276688,36.948234,11.977026,5.441226,-2.772419,1.489975,46.163607,65.779318,92.071814,108.068967,84.328045,45.7,62.1,65.1,60.6,69.8,89,130.8,118.1,61.7,43.5,29.3,29.6,25.8,30.3,32.4,102.49,65.08,67.6,86.25,24.57,57.19,34.4,56.64,74.05,69.4,49.38,67.56,68.69,60.37,26.68,53.493164,107.999317,108.287614,96.683596,52.259053,31.792913,4.976114,5.398431,-3.771337,-3.708812,18.654955,30.58717,71.614821,96.20629,104.51387,36.74,47.07,24.19,19.36,13.5,16.64,103.94,113.58,51.73,48.8,22.61,21.14,20.82,22.64,12.16,65.42,43.47,74.8,52.99,86.97,73.19,32.58,118.01,70.67,66.59,81.89,70.09,51.88,28.55,42.61,79.5762,43.3737,26.4607,45.3857,34.8785,37.0901,50.12,117.1431,128.3004,191.5405,155.6029,128.4916,86.8875,33.9487,26.6437,316.71,211.26,517.74,273.1,577.51,800.04,333.18,524.77,114.85,59.22,42.19,42.84,58.11,85.14,152.99
"48",50.87,56.77,55.07,98.37,56.64,92.39,100.02,41.87,85.35,76.78,110.25,31.87,46.75,34.59,38.23,149.536841,111.220526,62.24595,15.889293,6.675994,14.558413,2.812515,15.031315,43.749706,87.957964,119.703158,155.769584,195.165927,171.105142,107.246443,27.51,59.01,92.66,209.22,142.72,161.68,157.08,51.49,20.36,31.56,27.64,8.45,8.34,7.96,19.35,45.67,80.03,49.45,130.15,48.39,92.61,45.85,49.41,114.08,79.62,77.24,51.18,40.33,37.93,39.5,85.058,85.455,89.221,72.691,29.573,39.451,7.9446,3.0479,20.086,53.021,57.739,78.541,85.894,84.138,102.5,75.6,128.8,137.4,314.5,193.1,329.9,225,116.4,78.3,78.3,48,37,40.1,41.2,63.8,50.81,43.71,29.43,80.91,31.01,114.45,48.31,56.02,78.43,32.94,68.67,64.99,63.7,65.78,48.53,92.071814,108.068967,84.328045,69.044608,38.762573,23.904791,10.485003,1.758373,3.367177,34.518408,46.667807,85.508354,96.497598,106.888157,133.756754,25.8,30.3,32.4,50.1,44.9,89.7,125.1,57.3,33.5,21.8,23.5,19.6,25.1,34.3,37.2,68.69,60.37,26.68,41.59,24,61.34,23.3,46.55,74.31,46.47,67.39,74.9,89.64,71.92,52.57,71.614821,96.20629,104.51387,100.906207,40.070321,55.712976,23.98198,2.65958,-3.897132,-0.6696,44.424948,91.601532,105.781146,100.104731,130.86598,20.82,22.64,12.16,9.84,12.64,31.07,60.14,40.86,41.17,12.43,12.06,10.73,27.59,32.62,27.68,51.88,28.55,42.61,82.59,43.42,95.26,54.3,41.93,53.41,61.2,76.42,28.11,22.21,32.35,40.35,86.8875,33.9487,26.6437,37.9227,32.8592,39.1717,83.6835,139.0796,135.479,197.9106,160.1177,136.5577,84.4107,39.6081,41.2252,58.11,85.14,152.99,367.6,297.32,698.08,309.45,214.24,63.04,65.44,43.14,38.95,52.65,142.76,67.1
"49",46.75,34.59,38.23,104.8,47.75,40.37,99.49,53.79,63.35,66.64,58.35,66.3,59.3,59.64,60.99,195.165927,171.105142,107.246443,39.125025,27.185201,21.223586,7.050997,29.713394,45.699246,93.269495,152.734129,179.979109,198.5099,142.496687,119.779974,8.34,7.96,19.35,116.11,61.17,80.28,109.74,27.19,14.62,8.34,6.4,7.01,13.81,19.53,27.59,40.33,37.93,39.5,129.44,28.16,72.95,35.35,48.94,55.63,72.39,48.87,114.02,74.99,81.22,47.01,85.894,84.138,102.5,119.24,47.268,50.289,11.754,8.7246,23.617,51.904,85.224,78.591,92.002,80.541,114.07,40.1,41.2,63.8,134.2,169.7,205.7,196.2,82.1,48.6,49.9,30.4,41.9,78.2,96.9,125,63.7,65.78,48.53,95.29,42.55,21.57,60.13,78.55,93.3,111.15,52.93,77.46,50.59,41.71,67.74,96.497598,106.888157,133.756754,93.610554,51.475771,48.459625,13.116004,3.656615,-0.142975,11.575553,75.03037,82.67895,108.983329,94.816601,124.271932,25.1,34.3,37.2,48,57,55.7,94.3,58.3,42.6,39.3,22.8,21,29.7,35.2,44.6,89.64,71.92,52.57,55.15,58.21,25.95,38.32,112.11,75.48,137.05,82.3,106.24,84.84,32.91,40.32,105.781146,100.104731,130.86598,120.760347,60.351798,67.061756,15.412305,3.812905,-3.693511,-4.241445,27.911655,71.594397,99.898962,100.761209,120.851421,27.59,32.62,27.68,16.31,16.84,20.9,96.46,79.53,49.58,57.28,29.78,22.21,32.17,25.03,19.76,22.21,32.35,40.35,89.97,37.38,28.81,84.23,44.85,82.8,72.89,60.03,57.39,48.68,48.61,59.03,84.4107,39.6081,41.2252,44.6847,36.093,37.3604,48.9465,128.586,149.3484,186.2099,183.6671,129.622,81.1887,43.6253,35.9518,52.65,142.76,67.1,273.93,262.23,414.63,364.44,225.89,72.19,61.85,58.55,51.03,129.14,231.14,332.43
"50",59.3,59.64,60.99,47.38,46.1,43.92,85.1,120.18,149.11,87.64,93.77,94.65,58.35,52.42,77.39,198.5099,142.496687,119.779974,49.861887,27.07614,19.736869,7.225529,26.890982,34.298871,78.800915,111.463529,199.682732,145.083951,162.816728,113.362532,13.81,19.53,27.59,18,56.91,53.17,100.86,62.07,80.49,23.93,16.46,8.85,11.43,19.32,22.24,74.99,81.22,47.01,59.89,58.02,46.27,100.87,124.42,131.95,73.89,75.24,79.81,34.68,66.98,75.58,92.002,80.541,114.07,115.7,53.101,36.304,14.558,6.0881,11.693,40.879,56.848,91.31,66.776,90.637,142.96,78.2,96.9,125,129.9,114,212.6,273.2,253.3,160.4,84.5,62.8,44.7,50.1,69.5,122.5,50.59,41.71,67.74,50.67,45.95,41.97,53.42,114.9,104.71,77.45,69.95,103.13,33.64,81.69,78.82,108.983329,94.816601,124.271932,103.638,40.830372,35.039208,10.098967,-1.329161,-2.857792,14.741439,34.23557,83.522662,63.733109,117.552307,126.917428,29.7,35.2,44.6,39.6,44.7,78.4,73.7,87.4,57.9,38.6,30,31.4,24.3,32.2,37,84.84,32.91,40.32,49.95,26.24,53.01,33.07,66.26,116.84,45.97,75.49,51.88,45.14,55.44,46.01,99.898962,100.761209,120.851421,112.877379,71.190208,43.130498,28.783142,4.334942,-4.180679,-2.345279,27.196231,72.86374,57.465154,99.699498,150.058171,32.17,25.03,19.76,14.01,14.48,54.84,48.88,62.09,57.89,30.92,19.41,16.24,16.64,21.05,10.49,48.68,48.61,59.03,44.04,36.47,33.52,77.48,109.95,134.71,120.15,71.23,104.08,44.42,38.02,85.62,81.1887,43.6253,35.9518,43.7141,34.1698,34.7248,54.4328,134.6598,140.5752,162.7796,154.2607,144.4858,73.9233,45.4844,38.5912,129.14,231.14,332.43,226.8,328.18,389.32,537.16,464.07,364.88,193.76,127.39,199.25,167.81,161.8,332.43
"51",58.35,52.42,77.39,31.83,61.37,37.41,66.13,97.05,61.52,33.25,69.49,87.82,141.57,58.31,64.45,145.083951,162.816728,113.362532,36.054893,15.370569,18.884771,8.344441,28.766021,40.818814,103.8823,133.995332,188.567603,205.074696,124.280766,109.95159,11.43,19.32,22.24,24.6,136.93,73.25,76.25,40.11,17.07,7.2,6.23,7.11,52.5,11.6,80.97,34.68,66.98,75.58,44.9,69.94,76.79,23.64,66.68,56.5,28.35,58.33,84.84,86.12,63.68,70.27,66.776,90.637,142.96,69.119,53.098,42.628,7.5556,3.7002,8.8781,56.723,55.555,88.839,86.058,54.402,99.928,50.1,69.5,122.5,62.1,133.7,166.6,317.1,120.7,69.1,44.1,32.1,43.1,77.7,74.1,125.4,33.64,81.69,78.82,44.5,75.44,27.99,65.69,117.1,74.89,33.17,86.98,127.82,134.54,67.14,60.48,63.733109,117.552307,126.917428,47.46316,38.383569,33.491062,7.560881,1.281482,-0.118394,16.507862,38.549943,63.462321,68.851016,72.385522,116.791824,24.3,32.2,37,30.4,54.1,59.6,139.2,92.5,61.5,31.2,27,39.4,84.1,71.2,73.4,45.14,55.44,46.01,43.6,56.4,24.58,150.94,75.19,67.64,65.38,80.85,60.55,99.51,78.02,47.57,57.465154,99.699498,150.058171,90.855942,75.110241,43.112123,3.515977,0.401697,-4.184623,-3.57755,8.995351,70.347546,80.142069,70.192392,95.835605,16.64,21.05,10.49,8.81,7.36,8.43,152.39,119.52,53.88,27.87,23.42,14.6,25.17,31.84,42.11,44.42,38.02,85.62,33.62,68.28,25.85,57.86,80.98,70.85,15.82,59.31,120.38,158.44,78.81,40.34,73.9233,45.4844,38.5912,36.8555,38.3741,37.2372,47.5477,80.784,124.6133,190.8999,169.5494,137.2133,78.8966,34.3294,40.1818,167.81,161.8,332.43,183.39,950.04,648.23,557.85,204.14,129.52,58.87,37.39,97.88,529.75,252.68,595.2
