"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.69,174.67,174.73,174.88,174.97,174.96,174.93,174.88,174.79,174.73,174.7,174.69
2022,174.75,174.77,174.76,174.8,174.83,174.76,174.66,174.58,174.49,174.36,174.3,174.3
2023,174.34,174.42,174.54,174.69,174.72,174.67,174.62,174.52,174.41,174.31,174.24,174.22
2024,174.19,174.19,174.43,174.64,174.64,174.59,174.57,174.51,174.41,174.3,174.24,174.31
2025,174.4,174.48,174.55,174.57,174.62,174.62,174.58,174.56,174.47,174.36,174.31,174.29
2026,174.31,174.34,174.35,174.5,174.62,174.64,174.67,174.61,174.53,174.48,174.45,174.5
2027,174.54,174.55,174.57,174.63,174.71,174.76,174.75,174.68,174.59,174.47,174.39,174.44
2028,174.5,174.61,174.76,174.84,174.89,174.88,174.87,174.85,174.75,174.71,174.72,174.69
2029,174.71,174.72,174.79,174.94,175.03,175.08,175.08,175.01,174.93,174.86,174.92,175.04
2030,175.03,175.01,175.1,175.21,175.27,175.26,175.2,175.14,175.03,174.89,174.77,174.81
2031,174.85,174.86,174.99,175.14,175.2,175.18,175.19,175.16,175.1,175.05,175,175.1
2032,175.19,175.16,175.21,175.31,175.4,175.4,175.31,175.22,175.13,174.99,174.93,175.2
2033,175.38,175.36,175.45,175.51,175.47,175.37,175.3,175.25,175.18,175.08,175.06,175.09
2034,175.16,175.28,175.39,175.45,175.51,175.56,175.56,175.49,175.42,175.35,175.3,175.31
2035,175.33,175.37,175.44,175.52,175.52,175.44,175.36,175.25,175.11,174.98,174.9,174.86
2036,174.83,174.83,174.86,174.98,175.07,175.06,175.01,174.92,174.84,174.78,174.75,174.79
2037,174.83,174.82,174.97,175.25,175.37,175.31,175.21,175.17,175.1,174.96,174.83,174.89
2038,174.97,174.98,175.11,175.21,175.27,175.3,175.26,175.2,175.07,174.89,174.76,174.71
2039,174.78,174.89,174.96,175.01,175.08,175.18,175.18,175.09,174.99,174.89,174.8,174.76
2040,174.74,174.75,174.91,175.11,175.18,175.16,175.1,175,174.88,174.78,174.68,174.64
2041,174.67,174.77,174.93,175.01,175.02,174.98,174.9,174.83,174.73,174.63,174.6,174.63
2042,174.69,174.73,174.79,174.87,174.93,174.94,174.91,174.85,174.77,174.64,174.53,174.47
2043,174.56,174.75,174.88,174.96,174.95,174.91,174.85,174.77,174.67,174.55,174.44,174.41
2044,174.49,174.59,174.93,175.3,175.31,175.21,175.11,174.98,174.83,174.71,174.65,174.65
2045,174.77,174.86,174.85,174.91,174.96,174.93,174.91,174.84,174.75,174.7,174.66,174.67
2046,174.69,174.71,174.79,174.89,174.9,174.86,174.82,174.74,174.63,174.51,174.44,174.46
2047,174.5,174.48,174.54,174.69,174.78,174.77,174.79,174.76,174.65,174.54,174.48,174.48
2048,174.46,174.45,174.49,174.64,174.86,175.02,175.06,175.03,174.92,174.82,174.8,174.8
2049,174.79,174.78,174.89,175.04,175.08,175.11,175.15,175.14,175.08,174.95,174.87,174.98
2050,175.05,174.98,174.97,175.1,175.19,175.13,175.04,174.98,174.9,174.81,174.71,174.66
2051,174.69,174.76,174.94,175.1,175.1,175.03,174.96,174.9,174.81,174.68,174.58,174.54
2052,174.73,174.94,175,175.06,175.06,175.02,174.99,174.91,174.82,174.74,174.69,174.7
2053,174.75,174.84,174.93,175,175.04,175.04,175.03,174.98,174.9,174.79,174.72,174.72
2054,174.8,174.87,174.95,175.07,175.08,175.07,175.07,175.01,174.89,174.78,174.7,174.71
2055,174.73,174.84,174.97,175.07,175.21,175.33,175.36,175.27,175.2,175.08,174.9,174.78
2056,174.82,174.98,175.09,175.19,175.25,175.3,175.25,175.11,174.98,174.85,174.73,174.7
2057,174.69,174.66,174.82,174.98,174.96,174.9,174.9,174.87,174.78,174.7,174.66,174.68
2058,174.73,174.79,174.87,174.98,175.04,175.03,174.98,174.88,174.78,174.67,174.63,174.67
2059,174.64,174.62,174.66,174.76,174.94,175.02,174.99,174.89,174.77,174.65,174.59,174.57
2060,174.63,174.72,174.89,175.1,175.13,175.04,174.96,174.86,174.7,174.59,174.66,174.75
2061,174.9,175.07,175.11,175.16,175.26,175.3,175.24,175.13,174.98,174.9,174.9,174.9
2062,174.85,174.84,174.92,175,174.99,174.93,174.87,174.79,174.71,174.63,174.56,174.51
2063,174.53,174.67,174.8,174.87,174.91,174.84,174.76,174.66,174.53,174.41,174.35,174.33
2064,174.3,174.32,174.45,174.62,174.74,174.83,174.91,174.92,174.85,174.78,174.73,174.79
2065,174.78,174.77,175.01,175.15,175.13,175.07,174.95,174.82,174.67,174.54,174.54,174.76
2066,175.03,175.09,175.09,175.14,175.14,175.09,175.05,174.95,174.84,174.7,174.58,174.53
2067,174.49,174.47,174.58,174.7,174.71,174.71,174.67,174.62,174.52,174.42,174.37,174.48
2068,174.63,174.62,174.7,174.93,174.98,174.92,174.9,174.85,174.8,174.7,174.56,174.59
2069,174.67,174.65,174.66,174.77,174.93,175,174.95,174.85,174.71,174.62,174.56,174.54
2070,174.57,174.68,174.81,174.9,174.93,174.87,174.81,174.74,174.64,174.53,174.47,174.5
2071,174.54,174.56,174.6,174.69,174.83,174.92,174.9,174.84,174.73,174.59,174.54,174.63
2072,174.65,174.59,174.59,174.62,174.67,174.68,174.64,174.57,174.48,174.38,174.33,174.32
2073,174.35,174.44,174.49,174.52,174.58,174.63,174.62,174.57,174.47,174.37,174.32,174.29
2074,174.4,174.52,174.54,174.56,174.65,174.77,174.79,174.71,174.6,174.54,174.52,174.53
2075,174.68,174.78,174.8,174.83,174.81,174.75,174.65,174.58,174.49,174.4,174.34,174.35
2076,174.39,174.46,174.62,174.77,174.8,174.76,174.7,174.64,174.54,174.44,174.37,174.39
2077,174.41,174.39,174.46,174.65,174.79,174.78,174.72,174.63,174.56,174.47,174.47,174.56
2078,174.66,174.77,174.9,175.02,175.02,174.99,174.94,174.88,174.79,174.72,174.71,174.77
2079,174.91,174.97,175.13,175.34,175.44,175.47,175.41,175.3,175.19,175.1,175.02,175
2080,174.96,174.91,174.96,175.06,175.13,175.14,175.15,175.13,175.07,174.95,174.82,174.88
2081,174.94,174.94,175.02,175.15,175.23,175.22,175.14,175.04,174.98,174.87,174.83,174.93
2082,174.95,174.91,174.96,175.09,175.15,175.16,175.14,175.09,175.03,174.92,174.86,174.87
2083,174.89,174.92,174.98,175.06,175.08,175.08,175.06,175,174.87,174.73,174.66,174.67
2084,174.69,174.68,174.75,174.88,174.96,175.01,175.02,174.96,174.91,174.83,174.74,174.79
2085,174.89,174.85,174.86,174.96,174.99,175,174.99,174.91,174.82,174.73,174.65,174.62
2086,174.65,174.76,174.92,175.17,175.3,175.25,175.19,175.09,174.97,174.9,174.87,174.88
2087,174.9,174.94,175.03,175.13,175.2,175.26,175.26,175.15,175.04,174.91,174.83,174.83
2088,174.84,174.84,174.88,174.95,175.05,175.13,175.16,175.09,175,174.87,174.77,174.8
2089,174.83,175.1,175.41,175.43,175.54,175.61,175.5,175.35,175.22,175.09,175,175.04
2090,175.03,175.08,175.24,175.32,175.36,175.41,175.35,175.21,175.09,174.93,174.83,174.81
