"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.53,183.45,183.42,183.47,183.56,183.64,183.71,183.76,183.77,183.74,183.68,183.6
2022,183.48,183.4,183.34,183.32,183.37,183.48,183.58,183.62,183.63,183.58,183.48,183.37
2023,183.28,183.22,183.2,183.2,183.3,183.43,183.51,183.57,183.62,183.73,183.77,183.69
2024,183.59,183.49,183.41,183.4,183.46,183.54,183.59,183.6,183.62,183.62,183.59,183.54
2025,183.46,183.4,183.37,183.36,183.46,183.57,183.6,183.6,183.56,183.52,183.46,183.36
2026,183.27,183.2,183.17,183.19,183.31,183.47,183.58,183.63,183.64,183.65,183.61,183.53
2027,183.45,183.39,183.39,183.41,183.48,183.59,183.72,183.78,183.77,183.7,183.61,183.49
2028,183.36,183.26,183.19,183.19,183.26,183.35,183.42,183.47,183.47,183.43,183.38,183.28
2029,183.19,183.13,183.08,183.08,183.14,183.23,183.31,183.35,183.35,183.3,183.24,183.14
2030,183.05,182.98,182.95,183.01,183.1,183.18,183.27,183.35,183.39,183.38,183.35,183.27
2031,183.18,183.12,183.1,183.13,183.24,183.36,183.44,183.5,183.51,183.55,183.56,183.49
2032,183.39,183.3,183.26,183.3,183.42,183.56,183.64,183.7,183.7,183.61,183.51,183.41
2033,183.31,183.24,183.22,183.26,183.34,183.41,183.44,183.46,183.44,183.38,183.34,183.23
2034,183.11,183.06,183.06,183.1,183.22,183.36,183.53,183.65,183.67,183.67,183.62,183.53
2035,183.41,183.34,183.32,183.35,183.44,183.52,183.58,183.59,183.56,183.5,183.43,183.33
2036,183.23,183.15,183.13,183.14,183.22,183.31,183.37,183.43,183.46,183.43,183.36,183.26
2037,183.18,183.13,183.11,183.12,183.24,183.41,183.48,183.51,183.52,183.49,183.42,183.31
2038,183.19,183.08,182.99,182.97,183.07,183.21,183.28,183.3,183.33,183.35,183.31,183.23
2039,183.16,183.12,183.09,183.1,183.18,183.3,183.39,183.42,183.38,183.32,183.23,183.13
2040,183.02,182.95,182.92,182.93,183.01,183.07,183.15,183.25,183.32,183.29,183.19,183.1
2041,183.01,182.93,182.9,182.96,183.14,183.29,183.33,183.39,183.42,183.36,183.3,183.24
2042,183.14,183.04,182.98,183,183.07,183.11,183.13,183.15,183.19,183.19,183.16,183.1
2043,183.03,182.99,182.93,182.92,182.98,183.02,183.04,183.03,183.02,183.03,183,182.92
2044,182.85,182.8,182.77,182.81,182.93,183.06,183.15,183.22,183.24,183.2,183.14,183.05
2045,182.97,182.92,182.9,182.93,183.05,183.15,183.21,183.25,183.27,183.28,183.27,183.19
2046,183.1,183.05,183.02,183.08,183.26,183.42,183.5,183.52,183.52,183.53,183.5,183.42
2047,183.31,183.21,183.15,183.14,183.16,183.2,183.25,183.29,183.29,183.26,183.19,183.08
2048,182.98,182.9,182.88,182.92,183.04,183.17,183.23,183.24,183.25,183.22,183.12,183.03
2049,182.95,182.89,182.87,182.87,182.94,183.06,183.15,183.2,183.23,183.23,183.19,183.11
2050,183.02,182.96,182.93,182.96,183.1,183.24,183.33,183.38,183.4,183.38,183.32,183.26
2051,183.18,183.1,183.06,183.1,183.21,183.35,183.42,183.4,183.36,183.34,183.31,183.24
2052,183.13,183.06,183,182.99,183.05,183.14,183.2,183.23,183.21,183.19,183.12,183
2053,182.9,182.85,182.83,182.84,182.93,183.06,183.14,183.22,183.24,183.2,183.16,183.09
2054,183.02,182.97,182.94,183.01,183.16,183.29,183.38,183.45,183.49,183.5,183.44,183.35
2055,183.27,183.19,183.13,183.13,183.16,183.21,183.26,183.3,183.41,183.52,183.54,183.48
2056,183.36,183.27,183.22,183.24,183.39,183.54,183.64,183.71,183.72,183.68,183.57,183.43
2057,183.31,183.23,183.18,183.15,183.17,183.2,183.22,183.24,183.26,183.26,183.23,183.18
2058,183.12,183.06,183.01,183,183.1,183.2,183.26,183.29,183.28,183.26,183.22,183.17
2059,183.1,183.02,182.95,182.97,183.05,183.1,183.15,183.2,183.18,183.12,183.04,182.96
2060,182.88,182.84,182.82,182.87,182.97,183.05,183.11,183.16,183.18,183.18,183.15,183.08
2061,183,182.96,182.96,183.02,183.19,183.32,183.38,183.41,183.39,183.32,183.22,183.14
2062,183.07,183.03,182.99,182.98,183.04,183.12,183.18,183.2,183.21,183.2,183.14,183.07
