"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.58,175.5,175.54,175.61,175.63,175.62,175.6,175.56,175.54,175.49,175.43,175.41
2022,175.32,175.28,175.37,175.47,175.5,175.49,175.47,175.45,175.44,175.45,175.47,175.52
2023,175.46,175.4,175.43,175.47,175.47,175.45,175.43,175.4,175.34,175.26,175.23,175.21
2024,175.17,175.14,175.19,175.3,175.47,175.54,175.54,175.51,175.49,175.51,175.56,175.57
2025,175.48,175.46,175.51,175.54,175.6,175.63,175.66,175.64,175.58,175.51,175.48,175.43
2026,175.41,175.36,175.36,175.42,175.47,175.49,175.44,175.39,175.32,175.3,175.25,175.21
2027,175.18,175.16,175.26,175.32,175.33,175.34,175.32,175.3,175.22,175.15,175.16,175.14
2028,175.12,175.07,175.11,175.24,175.31,175.33,175.3,175.24,175.14,175.08,175.05,175.02
2029,174.97,174.92,175.01,175.1,175.16,175.16,175.14,175.15,175.1,175.01,174.92,174.83
2030,174.77,174.74,174.83,174.85,174.87,174.9,174.97,174.96,174.9,174.81,174.71,174.65
2031,174.58,174.58,174.7,174.81,174.82,174.81,174.78,174.74,174.68,174.62,174.58,174.53
2032,174.55,174.56,174.63,174.65,174.72,174.79,174.82,174.81,174.8,174.75,174.69,174.7
2033,174.63,174.56,174.7,174.82,174.91,174.9,174.9,174.85,174.8,174.74,174.7,174.68
2034,174.68,174.72,174.8,174.91,175.01,175.06,175.06,175.03,174.98,174.92,174.91,174.97
2035,174.93,174.98,175.09,175.24,175.33,175.34,175.39,175.37,175.32,175.25,175.16,175.16
2036,175.09,175.02,175.04,175.08,175.11,175.15,175.18,175.16,175.12,175.15,175.13,175.23
2037,175.15,175.07,175.11,175.3,175.36,175.44,175.46,175.42,175.42,175.44,175.42,175.48
2038,175.46,175.38,175.45,175.5,175.5,175.47,175.44,175.4,175.37,175.36,175.33,175.34
2039,175.26,175.28,175.36,175.43,175.42,175.4,175.38,175.35,175.3,175.25,175.21,175.15
2040,175.13,175.09,175.21,175.26,175.27,175.26,175.25,175.23,175.16,175.09,175.02,174.99
2041,174.94,174.94,174.98,175.08,175.1,175.14,175.14,175.11,175.1,175.03,174.95,174.91
2042,174.95,175,175.08,175.23,175.35,175.42,175.47,175.44,175.38,175.31,175.28,175.21
2043,175.2,175.22,175.42,175.51,175.5,175.53,175.52,175.48,175.4,175.31,175.26,175.24
2044,175.19,175.18,175.25,175.32,175.45,175.55,175.62,175.62,175.59,175.55,175.51,175.51
2045,175.43,175.37,175.44,175.48,175.45,175.42,175.37,175.33,175.26,175.16,175.08,175.03
2046,175.03,175.02,175.12,175.27,175.43,175.5,175.46,175.38,175.28,175.21,175.17,175.13
2047,175.05,175.04,175.08,175.17,175.3,175.34,175.35,175.32,175.24,175.15,175.12,175.07
2048,175.04,175.01,175.13,175.19,175.26,175.26,175.25,175.24,175.19,175.1,175.03,174.97
2049,174.97,174.95,175.03,175.15,175.2,175.21,175.22,175.22,175.16,175.08,175.05,175
2050,174.97,175.01,175.11,175.23,175.25,175.25,175.23,175.21,175.16,175.09,175.07,175.05
2051,174.99,174.97,175.03,175.13,175.27,175.32,175.29,175.28,175.23,175.15,175.15,175.16
2052,175.1,175.07,175.18,175.25,175.31,175.37,175.38,175.35,175.35,175.33,175.33,175.33
2053,175.35,175.3,175.35,175.39,175.41,175.39,175.35,175.34,175.31,175.27,175.22,175.18
2054,175.13,175.13,175.24,175.34,175.39,175.42,175.42,175.43,175.38,175.29,175.23,175.29
2055,175.26,175.44,175.61,175.64,175.61,175.53,175.46,175.4,175.36,175.32,175.29,175.31
2056,175.24,175.22,175.28,175.36,175.39,175.39,175.37,175.32,175.24,175.2,175.18,175.13
2057,175.25,175.23,175.3,175.34,175.37,175.39,175.36,175.32,175.24,175.18,175.15,175.07
2058,175.03,175,175.07,175.14,175.17,175.19,175.22,175.21,175.15,175.1,175.05,175.03
2059,175.05,175.05,175.19,175.31,175.35,175.36,175.35,175.29,175.24,175.19,175.17,175.11
2060,175.05,175.02,175.1,175.22,175.25,175.29,175.31,175.31,175.24,175.17,175.17,175.18
2061,175.15,175.28,175.28,175.32,175.33,175.32,175.3,175.27,175.21,175.12,175.04,175.03
2062,175.3,175.33,175.48,175.42,175.38,175.38,175.37,175.43,175.51,175.45,175.46,175.48
2063,175.83,175.77,175.72,175.77,175.75,175.74,175.67,175.59,175.5,175.43,175.34,175.3
2064,175.22,175.17,175.18,175.32,175.37,175.42,175.46,175.44,175.39,175.31,175.24,175.22
2065,175.18,175.17,175.2,175.29,175.34,175.32,175.32,175.28,175.22,175.12,174.99,174.9
2066,174.83,174.83,174.94,175,175,175,174.98,174.93,174.86,174.83,174.79,174.79
2067,174.78,174.8,174.85,174.96,174.98,175.06,175.07,175.05,174.99,174.99,175.05,175.04
2068,175,174.97,175.03,175.1,175.13,175.11,175.07,175.04,174.97,174.88,174.8,174.8
2069,174.75,174.71,174.81,174.97,175.04,175.08,175.08,175.06,175,174.97,174.93,174.99
2070,174.94,174.9,174.93,174.97,175,175.01,175.02,175,174.95,174.85,174.77,174.73
2071,174.66,174.62,174.81,174.98,175.06,175.07,175.04,175,175,174.96,174.89,174.88
2072,174.83,174.82,174.91,174.97,175.01,175,174.97,174.91,174.85,174.82,174.77,174.74
2073,174.71,174.76,174.89,174.95,174.97,174.93,174.88,174.86,174.79,174.68,174.61,174.55
2074,174.5,174.53,174.57,174.61,174.68,174.72,174.73,174.74,174.67,174.63,174.62,174.56
2075,174.55,174.68,174.78,174.88,174.96,175.01,175,174.97,174.92,174.87,174.82,174.81
2076,174.83,174.85,174.96,175.05,175.04,175.03,175.01,175,174.96,174.89,174.81,174.77
2077,174.73,174.72,174.84,174.93,174.97,174.97,174.96,174.95,174.93,174.93,174.94,174.94
2078,174.98,175.09,175.14,175.11,175.08,175.09,175.08,175.05,174.99,174.93,174.93,174.95
2079,174.91,175.02,175.13,175.18,175.19,175.2,175.19,175.18,175.16,175.16,175.14,175.16
2080,175.1,175.04,175.11,175.22,175.27,175.27,175.29,175.3,175.32,175.3,175.28,175.31
2081,175.33,175.4,175.48,175.54,175.55,175.55,175.54,175.51,175.43,175.32,175.26,175.24
2082,175.19,175.12,175.16,175.21,175.28,175.28,175.27,175.27,175.2,175.11,175.04,175.03
2083,175.07,175.06,175.06,175.1,175.16,175.17,175.16,175.14,175.05,174.93,174.85,174.84
2084,174.76,174.71,174.79,174.82,174.83,174.86,174.87,174.85,174.79,174.71,174.66,174.72
2085,174.67,174.63,174.73,174.8,174.85,174.9,174.94,174.93,174.93,174.96,174.93,174.86
2086,174.8,174.83,174.9,175.15,175.33,175.42,175.46,175.42,175.41,175.35,175.27,175.24
2087,175.23,175.21,175.3,175.41,175.46,175.46,175.42,175.43,175.4,175.31,175.23,175.19
2088,175.2,175.2,175.31,175.38,175.46,175.5,175.49,175.46,175.4,175.38,175.38,175.37
2089,175.36,175.38,175.4,175.42,175.45,175.44,175.38,175.33,175.29,175.23,175.23,175.28
2090,175.42,175.41,175.42,175.53,175.56,175.54,175.56,175.54,175.47,175.37,175.29,175.24
