"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.08,177.05,177.05,177.1,177.18,177.24,177.27,177.26,177.23,177.21,177.15,177.04
2022,176.95,176.91,176.9,176.91,176.96,177.03,177.08,177.06,176.98,176.87,176.8,176.7
2023,176.61,176.59,176.56,176.6,176.76,176.89,176.93,176.94,176.9,176.85,176.79,176.72
2024,176.64,176.56,176.58,176.66,176.76,176.83,176.83,176.82,176.84,176.83,176.76,176.65
2025,176.55,176.53,176.56,176.64,176.7,176.72,176.72,176.72,176.74,176.78,176.76,176.69
2026,176.64,176.6,176.65,176.73,176.8,176.84,176.86,176.83,176.79,176.75,176.69,176.61
2027,176.56,176.53,176.52,176.56,176.62,176.69,176.74,176.74,176.67,176.57,176.47,176.34
2028,176.23,176.19,176.19,176.25,176.34,176.4,176.43,176.42,176.41,176.38,176.31,176.21
2029,176.1,176,175.98,176.06,176.14,176.21,176.25,176.28,176.36,176.42,176.41,176.32
2030,176.26,176.25,176.26,176.31,176.4,176.49,176.54,176.53,176.51,176.47,176.42,176.35
2031,176.29,176.28,176.26,176.27,176.37,176.52,176.59,176.58,176.55,176.53,176.48,176.38
2032,176.31,176.28,176.25,176.26,176.33,176.41,176.48,176.53,176.56,176.53,176.46,176.38
2033,176.31,176.3,176.3,176.33,176.39,176.48,176.53,176.53,176.5,176.44,176.38,176.3
2034,176.25,176.21,176.22,176.33,176.48,176.53,176.54,176.53,176.51,176.47,176.44,176.37
2035,176.32,176.34,176.41,176.52,176.6,176.65,176.64,176.6,176.54,176.47,176.37,176.25
2036,176.16,176.11,176.11,176.18,176.25,176.29,176.29,176.25,176.19,176.12,176.05,175.98
2037,175.9,175.85,175.83,175.89,176,176.05,176.06,176.05,176.02,176.05,176.06,176.01
2038,175.96,175.94,175.96,176.02,176.14,176.28,176.32,176.29,176.23,176.14,176.03,175.94
2039,175.9,175.89,175.92,176.02,176.13,176.19,176.22,176.25,176.25,176.26,176.25,176.23
2040,176.19,176.14,176.13,176.18,176.24,176.26,176.24,176.2,176.16,176.1,176.03,175.95
2041,175.91,175.92,175.96,176.06,176.2,176.28,176.3,176.28,176.23,176.18,176.14,176.12
2042,176.08,176.03,176.02,176.06,176.14,176.21,176.24,176.24,176.19,176.14,176.1,176.01
2043,175.94,175.9,175.87,175.94,176.05,176.15,176.23,176.24,176.17,176.07,176.02,175.98
2044,175.88,175.84,175.86,175.96,176.09,176.17,176.22,176.24,176.25,176.21,176.19,176.22
2045,176.22,176.22,176.27,176.32,176.38,176.46,176.52,176.53,176.49,176.46,176.4,176.31
2046,176.21,176.15,176.13,176.22,176.35,176.45,176.52,176.52,176.5,176.47,176.4,176.36
2047,176.3,176.25,176.23,176.31,176.42,176.48,176.48,176.47,176.42,176.4,176.36,176.31
