"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.53,183.44,183.43,183.49,183.59,183.68,183.75,183.83,183.83,183.77,183.69,183.61
2022,183.52,183.44,183.36,183.38,183.47,183.52,183.57,183.59,183.58,183.5,183.42,183.34
2023,183.25,183.2,183.19,183.22,183.3,183.43,183.53,183.6,183.63,183.6,183.55,183.48
2024,183.4,183.3,183.22,183.21,183.28,183.39,183.5,183.57,183.62,183.67,183.65,183.56
2025,183.47,183.42,183.39,183.39,183.42,183.5,183.57,183.6,183.64,183.66,183.66,183.58
2026,183.47,183.4,183.37,183.42,183.51,183.61,183.7,183.81,183.87,183.84,183.79,183.71
2027,183.62,183.54,183.52,183.61,183.75,183.89,183.99,184.05,184.08,184.12,184.11,184.02
2028,183.91,183.82,183.75,183.73,183.8,183.86,183.9,183.95,183.93,183.88,183.83,183.79
2029,183.71,183.62,183.57,183.59,183.65,183.7,183.75,183.79,183.82,183.8,183.72,183.62
2030,183.52,183.46,183.42,183.42,183.49,183.57,183.62,183.68,183.7,183.65,183.55,183.44
2031,183.34,183.28,183.22,183.22,183.31,183.42,183.52,183.57,183.59,183.58,183.54,183.47
2032,183.4,183.33,183.26,183.27,183.34,183.41,183.46,183.49,183.52,183.58,183.6,183.54
2033,183.44,183.36,183.3,183.32,183.43,183.53,183.59,183.65,183.68,183.69,183.68,183.65
2034,183.55,183.45,183.41,183.44,183.53,183.62,183.67,183.71,183.81,183.91,183.92,183.84
2035,183.75,183.67,183.62,183.61,183.63,183.72,183.8,183.79,183.76,183.72,183.68,183.6
2036,183.49,183.43,183.38,183.37,183.46,183.55,183.57,183.57,183.57,183.59,183.58,183.5
2037,183.42,183.37,183.34,183.31,183.35,183.43,183.5,183.56,183.58,183.55,183.49,183.41
2038,183.31,183.24,183.18,183.16,183.26,183.4,183.48,183.54,183.51,183.5,183.5,183.41
2039,183.33,183.26,183.22,183.23,183.28,183.33,183.36,183.37,183.3,183.22,183.19,183.14
2040,183.09,183.04,183.01,183.02,183.07,183.13,183.21,183.27,183.3,183.31,183.28,183.21
2041,183.14,183.08,183.03,183.05,183.14,183.21,183.28,183.36,183.38,183.35,183.3,183.25
2042,183.17,183.12,183.09,183.08,183.12,183.19,183.26,183.28,183.31,183.33,183.3,183.27
2043,183.21,183.16,183.13,183.13,183.2,183.3,183.4,183.47,183.48,183.46,183.39,183.3
2044,183.2,183.14,183.11,183.12,183.19,183.25,183.29,183.28,183.22,183.16,183.09,182.99
2045,182.91,182.86,182.83,182.88,182.98,183.08,183.16,183.19,183.23,183.28,183.28,183.22
2046,183.13,183.08,183.06,183.09,183.18,183.28,183.39,183.49,183.49,183.44,183.39,183.3
2047,183.18,183.12,183.11,183.12,183.14,183.18,183.21,183.22,183.21,183.18,183.14,183.06
2048,182.97,182.91,182.91,182.93,183.03,183.14,183.23,183.27,183.23,183.18,183.13,183.07
