"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.56,175.63,175.73,175.94,175.95,175.94,175.91,175.85,175.8,175.83,175.77,175.7
2022,175.75,175.79,175.82,175.9,175.9,175.88,175.88,175.84,175.76,175.71,175.67,175.76
2023,175.65,175.53,175.52,175.63,175.74,175.75,175.72,175.66,175.63,175.63,175.61,175.6
2024,175.56,175.5,175.48,175.5,175.56,175.62,175.66,175.62,175.53,175.51,175.54,175.44
2025,175.32,175.27,175.29,175.34,175.34,175.32,175.3,175.24,175.19,175.1,174.99,174.92
2026,174.93,175.24,175.22,175.27,175.33,175.35,175.36,175.33,175.26,175.16,175.05,174.95
2027,174.93,174.98,175.03,175.14,175.19,175.23,175.23,175.2,175.15,175.08,175.03,175
2028,174.95,175.08,175.23,175.26,175.31,175.36,175.35,175.29,175.26,175.16,175.15,175.15
2029,175.12,175.1,175.14,175.2,175.23,175.24,175.24,175.23,175.18,175.08,175.02,175.11
2030,175.02,175.13,175.21,175.3,175.35,175.32,175.27,175.24,175.21,175.16,175.08,175.09
2031,175.09,175.05,175.13,175.27,175.26,175.24,175.22,175.2,175.14,175.09,175.02,175.04
2032,175.01,175.05,175.15,175.27,175.31,175.32,175.35,175.32,175.24,175.15,175.08,175
2033,175.02,175.04,175.08,175.11,175.16,175.2,175.16,175.14,175.06,174.99,174.96,174.98
2034,174.97,174.93,175.08,175.12,175.14,175.14,175.18,175.19,175.2,175.24,175.25,175.28
2035,175.23,175.18,175.25,175.25,175.26,175.28,175.33,175.32,175.25,175.15,175.05,174.98
2036,175,175.03,175.21,175.32,175.35,175.37,175.33,175.28,175.21,175.13,175.07,175.1
2037,175.15,175.2,175.3,175.36,175.34,175.31,175.27,175.24,175.21,175.14,175.06,175.06
2038,175,175.08,175.13,175.23,175.29,175.31,175.31,175.27,175.26,175.26,175.24,175.28
2039,175.32,175.26,175.24,175.33,175.43,175.43,175.45,175.43,175.37,175.28,175.2,175.17
2040,175.11,175.1,175.18,175.35,175.31,175.32,175.3,175.28,175.22,175.14,175.09,175.08
2041,175.02,175.04,175.11,175.22,175.28,175.34,175.36,175.31,175.24,175.17,175.09,175.04
2042,175.06,175.14,175.36,175.59,175.65,175.78,175.82,175.78,175.76,175.78,175.73,175.69
2043,175.67,175.65,175.69,175.76,175.79,175.76,175.73,175.69,175.62,175.55,175.48,175.42
