"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.67,174.62,174.79,175.06,175.1,175.03,174.93,174.83,174.71,174.57,174.45,174.41
2022,174.5,174.58,174.66,174.84,174.9,174.84,174.78,174.7,174.62,174.54,174.5,174.55
2023,174.6,174.61,174.73,174.89,175,175.04,174.98,174.92,174.85,174.85,174.96,175.05
2024,175.12,175.07,175.03,175.1,175.16,175.16,175.13,175.05,174.94,174.86,174.76,174.71
2025,174.71,174.72,174.77,174.84,174.83,174.78,174.74,174.67,174.57,174.46,174.37,174.33
2026,174.34,174.4,174.49,174.58,174.69,174.8,174.8,174.74,174.64,174.52,174.43,174.4
2027,174.38,174.36,174.5,174.68,174.71,174.66,174.64,174.56,174.45,174.36,174.35,174.41
2028,174.45,174.53,174.73,174.89,175.04,175.13,175.08,175.02,174.96,174.89,174.82,174.81
2029,174.79,174.78,174.82,174.91,174.96,174.95,174.92,174.84,174.73,174.61,174.52,174.52
2030,174.65,174.76,174.78,174.78,174.81,174.77,174.7,174.65,174.6,174.55,174.53,174.6
2031,174.79,174.83,174.83,174.9,174.94,175,174.99,174.93,174.82,174.7,174.71,174.76
2032,174.74,174.78,174.86,174.99,175.01,174.92,174.86,174.81,174.75,174.65,174.55,174.52
2033,174.52,174.57,174.65,174.71,174.85,174.91,174.85,174.8,174.73,174.69,174.75,174.81
2034,174.89,174.97,174.97,174.95,174.95,174.95,174.95,174.9,174.8,174.69,174.64,174.65
2035,174.69,174.76,174.9,175.09,175.15,175.25,175.32,175.24,175.15,175.07,174.97,174.92
2036,174.9,174.97,175.04,175.1,175.14,175.12,175.15,175.14,175.06,174.95,174.86,174.86
2037,174.91,174.99,175.08,175.21,175.28,175.26,175.22,175.15,175.05,174.94,174.87,174.92
2038,174.96,174.96,175.04,175.18,175.23,175.17,175.1,175.03,174.92,174.8,174.73,174.71
2039,174.75,174.79,174.86,174.99,175.05,175.02,174.96,174.9,174.81,174.68,174.59,174.61
2040,174.65,174.67,174.76,174.83,174.81,174.75,174.68,174.61,174.5,174.38,174.31,174.26
2041,174.29,174.5,174.63,174.66,174.69,174.65,174.57,174.48,174.36,174.22,174.19,174.28
2042,174.31,174.28,174.38,174.53,174.54,174.49,174.43,174.33,174.22,174.12,174.04,174.03
2043,174.11,174.23,174.35,174.47,174.49,174.47,174.45,174.4,174.3,174.21,174.22,174.27
2044,174.29,174.36,174.53,174.65,174.64,174.58,174.5,174.42,174.33,174.2,174.11,174.07
2045,174.08,174.14,174.26,174.45,174.52,174.49,174.43,174.38,174.3,174.17,174.07,174.03
2046,174.26,174.56,174.67,174.81,174.88,174.85,174.8,174.74,174.67,174.55,174.47,174.48
2047,174.45,174.42,174.49,174.59,174.63,174.6,174.53,174.46,174.36,174.22,174.13,174.17
2048,174.19,174.19,174.27,174.4,174.45,174.38,174.29,174.23,174.17,174.1,174.06,174.08
2049,174.19,174.35,174.48,174.59,174.67,174.72,174.68,174.63,174.53,174.41,174.37,174.38
2050,174.41,174.42,174.5,174.62,174.68,174.68,174.64,174.61,174.57,174.51,174.44,174.42
