"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.09,177.07,177.06,177.11,177.23,177.35,177.43,177.41,177.37,177.35,177.35,177.34
2022,177.27,177.19,177.18,177.26,177.37,177.4,177.39,177.36,177.34,177.34,177.33,177.28
2023,177.24,177.25,177.26,177.3,177.4,177.48,177.52,177.52,177.55,177.56,177.55,177.53
2024,177.48,177.45,177.44,177.45,177.48,177.5,177.54,177.6,177.65,177.65,177.57,177.48
2025,177.43,177.45,177.47,177.48,177.54,177.59,177.58,177.56,177.49,177.43,177.41,177.34
2026,177.23,177.17,177.16,177.21,177.3,177.36,177.37,177.33,177.24,177.14,177.04,176.91
2027,176.82,176.81,176.8,176.81,176.84,176.85,176.85,176.83,176.77,176.67,176.56,176.45
2028,176.39,176.42,176.42,176.46,176.58,176.67,176.7,176.68,176.65,176.65,176.62,176.58
2029,176.58,176.56,176.53,176.56,176.61,176.64,176.67,176.7,176.68,176.61,176.54,176.5
2030,176.46,176.42,176.42,176.49,176.57,176.6,176.6,176.63,176.63,176.62,176.63,176.6
2031,176.59,176.61,176.61,176.68,176.78,176.82,176.83,176.84,176.79,176.71,176.65,176.57
2032,176.5,176.45,176.45,176.5,176.58,176.67,176.74,176.77,176.74,176.67,176.57,176.46
2033,176.41,176.38,176.39,176.44,176.48,176.48,176.48,176.45,176.37,176.3,176.24,176.13
2034,176.04,175.99,175.97,176.03,176.12,176.17,176.19,176.2,176.19,176.15,176.12,176.09
2035,176.07,176.05,176.08,176.16,176.23,176.29,176.34,176.34,176.29,176.24,176.18,176.11
2036,176.08,176.07,176.09,176.15,176.17,176.21,176.24,176.24,176.21,176.14,176.1,176.07
2037,176.01,175.99,175.97,175.99,176.09,176.15,176.21,176.28,176.33,176.35,176.36,176.34
2038,176.29,176.3,176.34,176.4,176.58,176.73,176.8,176.88,176.92,176.87,176.77,176.65
2039,176.57,176.58,176.61,176.63,176.64,176.66,176.69,176.7,176.72,176.72,176.62,176.53
2040,176.48,176.45,176.49,176.56,176.63,176.68,176.71,176.71,176.71,176.69,176.6,176.49
2041,176.39,176.3,176.28,176.33,176.4,176.5,176.57,176.59,176.56,176.49,176.41,176.38
2042,176.39,176.37,176.35,176.42,176.55,176.69,176.77,176.76,176.7,176.64,176.61,176.58
2043,176.55,176.58,176.63,176.72,176.84,176.93,176.97,176.97,176.96,176.95,176.93,176.88
2044,176.86,176.88,176.89,176.93,176.94,176.93,176.91,176.86,176.77,176.76,176.82,176.8
2045,176.74,176.71,176.72,176.76,176.81,176.86,176.9,176.86,176.82,176.82,176.8,176.73
2046,176.7,176.66,176.61,176.68,176.82,176.93,177.02,177.06,177.02,176.96,176.86,176.78
2047,176.77,176.79,176.79,176.83,176.93,177.04,177.14,177.17,177.13,177.12,177.11,177.07
2048,177.05,177.07,177.08,177.11,177.18,177.24,177.32,177.37,177.39,177.42,177.43,177.41
2049,177.35,177.27,177.24,177.31,177.49,177.67,177.77,177.76,177.72,177.71,177.66,177.54
2050,177.47,177.48,177.54,177.65,177.74,177.81,177.86,177.89,177.88,177.84,177.77,177.69
2051,177.61,177.59,177.61,177.65,177.7,177.72,177.72,177.69,177.62,177.61,177.6,177.48
2052,177.38,177.34,177.31,177.32,177.38,177.41,177.43,177.43,177.37,177.28,177.2,177.15
2053,177.13,177.11,177.12,177.2,177.31,177.39,177.44,177.46,177.45,177.49,177.55,177.52
2054,177.46,177.43,177.42,177.46,177.55,177.64,177.69,177.68,177.64,177.61,177.54,177.41
2055,177.3,177.28,177.3,177.36,177.44,177.48,177.5,177.48,177.46,177.44,177.39,177.31
2056,177.26,177.25,177.3,177.42,177.52,177.56,177.55,177.51,177.47,177.43,177.38,177.31
2057,177.23,177.18,177.22,177.27,177.29,177.3,177.3,177.28,177.27,177.25,177.16,177.03
2058,176.93,176.88,176.88,176.89,176.9,176.94,176.98,176.99,176.97,176.96,176.93,176.9
2059,176.84,176.81,176.88,177.01,177.14,177.21,177.21,177.19,177.19,177.19,177.16,177.09
2060,177.06,177.11,177.17,177.25,177.33,177.35,177.38,177.4,177.46,177.51,177.48,177.39
2061,177.28,177.23,177.24,177.38,177.58,177.68,177.72,177.74,177.77,177.81,177.84,177.83
2062,177.78,177.73,177.74,177.81,177.85,177.84,177.84,177.82,177.75,177.64,177.57,177.56
2063,177.54,177.47,177.42,177.45,177.52,177.56,177.59,177.61,177.53,177.44,177.39,177.33
2064,177.24,177.2,177.25,177.35,177.46,177.55,177.62,177.66,177.66,177.66,177.64,177.56
2065,177.52,177.48,177.47,177.54,177.59,177.63,177.62,177.62,177.59,177.55,177.48,177.36
2066,177.31,177.32,177.35,177.41,177.48,177.53,177.53,177.53,177.48,177.4,177.33,177.26
2067,177.21,177.19,177.19,177.24,177.3,177.32,177.31,177.33,177.32,177.24,177.17,177.1
2068,177.06,177.03,177.04,177.07,177.05,177.01,176.99,176.96,176.89,176.79,176.74,176.7
2069,176.62,176.58,176.6,176.63,176.65,176.66,176.66,176.63,176.58,176.51,176.44,176.34
2070,176.27,176.24,176.22,176.26,176.33,176.38,176.39,176.4,176.39,176.32,176.24,176.17
2071,176.11,176.08,176.11,176.21,176.36,176.43,176.45,176.45,176.42,176.44,176.44,176.37
2072,176.33,176.33,176.32,176.39,176.51,176.56,176.58,176.58,176.57,176.54,176.46,176.4
2073,176.34,176.32,176.36,176.44,176.51,176.57,176.63,176.64,176.62,176.59,176.54,176.46
2074,176.4,176.38,176.39,176.45,176.57,176.68,176.74,176.78,176.78,176.72,176.63,176.58
2075,176.55,176.51,176.47,176.47,176.49,176.5,176.49,176.49,176.5,176.45,176.37,176.31
2076,176.27,176.25,176.3,176.39,176.45,176.45,176.45,176.46,176.45,176.38,176.28,176.16
2077,176.07,176.05,176.07,176.16,176.31,176.47,176.59,176.6,176.6,176.64,176.62,176.58
2078,176.54,176.52,176.56,176.65,176.76,176.85,176.93,176.98,176.97,176.93,176.88,176.83
2079,176.79,176.75,176.75,176.79,176.84,176.87,176.87,176.84,176.81,176.76,176.71,176.65
2080,176.6,176.57,176.56,176.61,176.69,176.75,176.78,176.8,176.8,176.76,176.69,176.6
2081,176.54,176.55,176.6,176.7,176.83,176.93,177.01,177.03,177.01,176.96,176.9,176.81
2082,176.72,176.7,176.7,176.72,176.74,176.76,176.75,176.71,176.62,176.5,176.41,176.32
2083,176.27,176.27,176.27,176.31,176.44,176.53,176.55,176.53,176.5,176.47,176.48,176.46
2084,176.41,176.38,176.39,176.43,176.51,176.61,176.68,176.69,176.67,176.6,176.47,176.33
2085,176.24,176.21,176.22,176.27,176.35,176.43,176.5,176.53,176.5,176.51,176.49,176.44
2086,176.38,176.33,176.32,176.33,176.38,176.45,176.53,176.55,176.54,176.53,176.49,176.45
2087,176.45,176.48,176.49,176.51,176.55,176.61,176.7,176.77,176.81,176.81,176.77,176.77
2088,176.79,176.77,176.78,176.87,177,177.1,177.15,177.18,177.17,177.13,177.04,176.93
2089,176.84,176.78,176.77,176.85,176.97,177.05,177.08,177.04,176.97,176.87,176.75,176.64
2090,176.56,176.53,176.58,176.71,176.78,176.81,176.84,176.82,176.77,176.72,176.66,176.59
