"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.07,177.02,177.03,177.11,177.22,177.27,177.28,177.3,177.28,177.23,177.18,177.1
2022,177.04,177.04,177.06,177.11,177.2,177.29,177.34,177.3,177.24,177.23,177.19,177.11
2023,177.06,177.04,177.04,177.11,177.19,177.24,177.25,177.27,177.23,177.11,177,176.9
2024,176.85,176.86,176.88,176.99,177.13,177.21,177.25,177.24,177.17,177.07,176.96,176.88
2025,176.83,176.79,176.78,176.85,176.92,176.95,176.95,176.96,176.98,176.97,176.93,176.88
2026,176.86,176.86,176.88,176.93,177,177.07,177.09,177.12,177.1,177.05,177.05,176.98
2027,176.89,176.86,176.92,177.05,177.24,177.38,177.51,177.58,177.56,177.58,177.6,177.55
2028,177.48,177.42,177.39,177.42,177.47,177.48,177.49,177.5,177.47,177.41,177.34,177.24
2029,177.17,177.14,177.11,177.15,177.23,177.3,177.33,177.32,177.27,177.18,177.07,176.98
2030,176.91,176.86,176.9,177.02,177.15,177.26,177.31,177.33,177.32,177.36,177.41,177.41
2031,177.36,177.31,177.33,177.39,177.45,177.49,177.54,177.51,177.4,177.31,177.22,177.13
2032,177.05,176.99,176.98,177.07,177.19,177.24,177.25,177.24,177.23,177.2,177.14,177.09
2033,177.05,177.05,177.17,177.3,177.39,177.42,177.42,177.44,177.41,177.32,177.24,177.16
2034,177.11,177.09,177.07,177.1,177.18,177.23,177.23,177.22,177.16,177.1,177.05,176.98
2035,176.95,176.98,177.03,177.13,177.23,177.3,177.34,177.34,177.3,177.25,177.2,177.11
2036,177.05,177.02,177,177.04,177.08,177.08,177.05,177.04,177.07,177.06,176.99,176.9
2037,176.84,176.82,176.82,176.9,177.03,177.14,177.22,177.25,177.3,177.36,177.33,177.25
2038,177.18,177.2,177.28,177.4,177.49,177.51,177.48,177.46,177.43,177.39,177.35,177.27
2039,177.17,177.13,177.15,177.2,177.25,177.26,177.25,177.22,177.23,177.23,177.16,177.05
2040,176.98,177,177.08,177.17,177.24,177.31,177.35,177.33,177.23,177.21,177.25,177.22
2041,177.16,177.13,177.11,177.14,177.22,177.3,177.33,177.3,177.21,177.08,176.96,176.84
2042,176.79,176.78,176.75,176.81,176.92,176.98,177,176.99,176.95,176.89,176.8,176.7
2043,176.68,176.67,176.67,176.73,176.83,176.91,176.94,176.93,176.91,176.84,176.74,176.69
2044,176.65,176.6,176.58,176.6,176.65,176.66,176.67,176.65,176.56,176.45,176.33,176.19
2045,176.11,176.11,176.12,176.23,176.41,176.55,176.64,176.66,176.65,176.65,176.64,176.58
2046,176.55,176.52,176.49,176.59,176.75,176.9,177,177,177.02,177.03,176.96,176.89
2047,176.86,176.85,176.9,176.99,177.09,177.2,177.27,177.26,177.2,177.08,176.97,176.88
2048,176.81,176.75,176.79,177.05,177.31,177.39,177.38,177.37,177.33,177.3,177.29,177.27
2049,177.23,177.2,177.24,177.33,177.43,177.55,177.63,177.64,177.59,177.56,177.55,177.5
2050,177.45,177.43,177.46,177.53,177.63,177.75,177.79,177.74,177.65,177.53,177.43,177.34
2051,177.28,177.31,177.37,177.46,177.56,177.64,177.67,177.68,177.68,177.66,177.59,177.53
