"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.58,175.51,175.6,175.76,175.76,175.76,175.73,175.71,175.64,175.58,175.53,175.58
2022,175.59,175.64,175.68,175.74,175.8,175.82,175.81,175.79,175.75,175.68,175.62,175.61
2023,175.61,175.73,175.74,175.84,175.83,175.81,175.79,175.74,175.66,175.61,175.6,175.59
2024,175.53,175.55,175.79,175.93,175.94,175.91,175.86,175.84,175.83,175.81,175.79,175.79
2025,175.79,175.8,175.83,175.96,176,175.95,175.92,175.89,175.83,175.72,175.65,175.55
2026,175.45,175.42,175.52,175.65,175.72,175.78,175.8,175.77,175.76,175.73,175.7,175.66
2027,175.66,175.67,175.69,175.75,175.78,175.8,175.79,175.74,175.66,175.55,175.47,175.52
2028,175.45,175.38,175.46,175.51,175.54,175.57,175.57,175.54,175.49,175.44,175.38,175.3
2029,175.2,175.15,175.23,175.31,175.29,175.28,175.27,175.28,175.25,175.18,175.13,175.08
2030,175.08,175.12,175.22,175.32,175.36,175.37,175.36,175.32,175.25,175.2,175.09,175.03
2031,174.99,174.99,175.12,175.16,175.17,175.15,175.14,175.13,175.12,175.03,175,174.96
2032,174.89,174.93,175.11,175.26,175.32,175.28,175.24,175.22,175.18,175.16,175.16,175.24
2033,175.22,175.19,175.24,175.35,175.41,175.51,175.62,175.65,175.6,175.57,175.58,175.64
2034,175.63,175.59,175.59,175.68,175.72,175.75,175.76,175.73,175.66,175.61,175.57,175.53
2035,175.49,175.51,175.63,175.74,175.76,175.78,175.8,175.77,175.71,175.66,175.59,175.59
2036,175.54,175.49,175.51,175.57,175.65,175.68,175.65,175.6,175.53,175.53,175.53,175.51
2037,175.53,175.55,175.7,175.8,175.95,176.01,176.01,175.95,175.85,175.73,175.63,175.61
2038,175.55,175.67,175.69,175.71,175.79,175.87,175.88,175.84,175.77,175.69,175.6,175.57
2039,175.48,175.4,175.5,175.52,175.5,175.48,175.44,175.39,175.31,175.32,175.33,175.42
2040,175.36,175.43,175.52,175.54,175.55,175.62,175.66,175.61,175.52,175.42,175.35,175.43
2041,175.48,175.45,175.49,175.49,175.45,175.42,175.39,175.34,175.29,175.26,175.2,175.21
2042,175.14,175.11,175.22,175.36,175.38,175.39,175.36,175.34,175.33,175.29,175.21,175.18
2043,175.13,175.12,175.36,175.48,175.56,175.57,175.6,175.6,175.56,175.46,175.34,175.33
2044,175.29,175.31,175.38,175.55,175.6,175.56,175.52,175.46,175.37,175.29,175.27,175.22
2045,175.18,175.16,175.24,175.32,175.33,175.29,175.26,175.22,175.16,175.11,175.07,175.2
2046,175.22,175.19,175.26,175.36,175.41,175.44,175.45,175.43,175.36,175.29,175.24,175.26
2047,175.25,175.33,175.37,175.45,175.55,175.64,175.67,175.64,175.59,175.53,175.46,175.4
2048,175.6,175.64,175.7,175.73,175.75,175.76,175.75,175.73,175.66,175.55,175.52,175.58
2049,175.54,175.48,175.49,175.54,175.55,175.53,175.52,175.52,175.46,175.4,175.44,175.42
2050,175.4,175.38,175.46,175.54,175.58,175.55,175.52,175.49,175.43,175.37,175.3,175.3
2051,175.27,175.29,175.4,175.48,175.55,175.62,175.6,175.58,175.57,175.52,175.43,175.36
2052,175.31,175.37,175.44,175.55,175.65,175.66,175.66,175.66,175.6,175.56,175.52,175.49
2053,175.5,175.48,175.53,175.57,175.57,175.61,175.62,175.62,175.54,175.43,175.37,175.28
2054,175.26,175.33,175.41,175.52,175.55,175.58,175.59,175.58,175.52,175.46,175.44,175.5
2055,175.49,175.42,175.43,175.47,175.51,175.45,175.41,175.4,175.34,175.36,175.45,175.42
2056,175.39,175.51,175.6,175.59,175.73,175.69,175.66,175.6,175.49,175.38,175.32,175.34
2057,175.27,175.22,175.43,175.61,175.74,175.88,175.93,175.9,175.82,175.8,175.75,175.68
2058,175.61,175.59,175.69,175.8,175.82,175.83,175.9,175.91,175.85,175.77,175.74,175.64
2059,175.58,175.55,175.59,175.67,175.69,175.7,175.72,175.66,175.56,175.45,175.38,175.37
2060,175.32,175.45,175.59,175.61,175.61,175.59,175.55,175.53,175.48,175.41,175.35,175.27
2061,175.24,175.31,175.44,175.51,175.52,175.51,175.52,175.48,175.46,175.36,175.28,175.21
2062,175.12,175.19,175.33,175.37,175.35,175.35,175.33,175.31,175.32,175.32,175.25,175.23
2063,175.27,175.35,175.52,175.53,175.49,175.46,175.43,175.38,175.32,175.26,175.23,175.17
2064,175.12,175.13,175.32,175.49,175.54,175.58,175.56,175.54,175.5,175.43,175.33,175.25
2065,175.21,175.23,175.29,175.33,175.36,175.32,175.28,175.24,175.18,175.07,175,174.97
2066,174.96,174.96,175.07,175.2,175.29,175.35,175.35,175.32,175.29,175.29,175.29,175.23
2067,175.16,175.17,175.27,175.37,175.41,175.5,175.52,175.47,175.41,175.37,175.3,175.24
2068,175.21,175.23,175.31,175.42,175.48,175.56,175.6,175.53,175.49,175.44,175.33,175.24
2069,175.2,175.17,175.3,175.35,175.37,175.33,175.28,175.24,175.18,175.14,175.08,175.02
2070,174.96,174.94,175.09,175.24,175.25,175.25,175.23,175.21,175.18,175.13,175.11,175.13
2071,175.15,175.12,175.17,175.22,175.26,175.28,175.29,175.29,175.24,175.15,175.09,175.07
2072,175.02,175.01,175.12,175.2,175.29,175.35,175.39,175.35,175.34,175.34,175.29,175.27
2073,175.32,175.41,175.44,175.46,175.49,175.5,175.54,175.54,175.47,175.4,175.4,175.4
2074,175.53,175.7,175.73,175.8,175.75,175.72,175.69,175.66,175.6,175.53,175.49,175.45
2075,175.4,175.43,175.5,175.58,175.6,175.67,175.67,175.64,175.58,175.49,175.44,175.58
2076,175.46,175.4,175.44,175.5,175.54,175.55,175.54,175.52,175.46,175.36,175.28,175.21
2077,175.17,175.24,175.29,175.4,175.4,175.49,175.52,175.49,175.47,175.39,175.32,175.29
2078,175.21,175.16,175.2,175.26,175.25,175.24,175.19,175.2,175.26,175.22,175.13,175.08
2079,175,174.95,175.04,175.11,175.13,175.15,175.16,175.16,175.14,175.09,175.04,175.02
2080,174.99,175.01,175.11,175.24,175.25,175.25,175.25,175.23,175.19,175.11,175.03,175.01
2081,174.99,174.98,175.06,175.22,175.27,175.26,175.22,175.19,175.13,175.08,175.04,174.97
2082,174.92,174.9,175.03,175.11,175.16,175.21,175.22,175.2,175.17,175.11,175.07,175.04
2083,174.96,174.93,174.97,175.09,175.21,175.22,175.17,175.09,174.99,174.94,174.87,174.82
2084,174.77,174.79,174.87,174.94,174.94,174.93,174.92,174.89,174.85,174.78,174.73,174.68
2085,174.65,174.65,174.72,174.81,174.91,174.96,174.96,174.93,174.89,174.84,174.8,174.82
2086,174.76,174.74,174.84,174.99,175.12,175.19,175.22,175.21,175.15,175.14,175.15,175.12
2087,175.13,175.18,175.27,175.39,175.44,175.44,175.43,175.4,175.35,175.27,175.19,175.14
2088,175.05,175.03,175.07,175.15,175.19,175.21,175.24,175.24,175.23,175.23,175.21,175.22
2089,175.19,175.19,175.25,175.31,175.35,175.37,175.35,175.35,175.33,175.28,175.25,175.32
2090,175.33,175.35,175.43,175.5,175.51,175.51,175.49,175.45,175.36,175.29,175.29,175.29
