"","ant.Sep.Eri.P","ant.Oct.Eri.P","ant.Nov.Eri.P","for.Dec.Eri.P","for.Jan.Eri.P","for.Feb.Eri.P","for.Mar.Eri.P","for.Apr.Eri.P","for.May.Eri.P","for.Jun.Eri.P","for.Jul.Eri.P","for.Aug.Eri.P","for.Sep.Eri.P","for.Oct.Eri.P","for.Nov.Eri.P","ant.Sep.Eri.E","ant.Oct.Eri.E","ant.Nov.Eri.E","for.Dec.Eri.E","for.Jan.Eri.E","for.Feb.Eri.E","for.Mar.Eri.E","for.Apr.Eri.E","for.May.Eri.E","for.Jun.Eri.E","for.Jul.Eri.E","for.Aug.Eri.E","for.Sep.Eri.E","for.Oct.Eri.E","for.Nov.Eri.E","ant.Sep.Eri.R","ant.Oct.Eri.R","ant.Nov.Eri.R","for.Dec.Eri.R","for.Jan.Eri.R","for.Feb.Eri.R","for.Mar.Eri.R","for.Apr.Eri.R","for.May.Eri.R","for.Jun.Eri.R","for.Jul.Eri.R","for.Aug.Eri.R","for.Sep.Eri.R","for.Oct.Eri.R","for.Nov.Eri.R","ant.Sep.Ont.P","ant.Oct.Ont.P","ant.Nov.Ont.P","for.Dec.Ont.P","for.Jan.Ont.P","for.Feb.Ont.P","for.Mar.Ont.P","for.Apr.Ont.P","for.May.Ont.P","for.Jun.Ont.P","for.Jul.Ont.P","for.Aug.Ont.P","for.Sep.Ont.P","for.Oct.Ont.P","for.Nov.Ont.P","ant.Sep.Ont.E","ant.Oct.Ont.E","ant.Nov.Ont.E","for.Dec.Ont.E","for.Jan.Ont.E","for.Feb.Ont.E","for.Mar.Ont.E","for.Apr.Ont.E","for.May.Ont.E","for.Jun.Ont.E","for.Jul.Ont.E","for.Aug.Ont.E","for.Sep.Ont.E","for.Oct.Ont.E","for.Nov.Ont.E","ant.Sep.Ont.R","ant.Oct.Ont.R","ant.Nov.Ont.R","for.Dec.Ont.R","for.Jan.Ont.R","for.Feb.Ont.R","for.Mar.Ont.R","for.Apr.Ont.R","for.May.Ont.R","for.Jun.Ont.R","for.Jul.Ont.R","for.Aug.Ont.R","for.Sep.Ont.R","for.Oct.Ont.R","for.Nov.Ont.R","ant.Sep.MiH.P","ant.Oct.MiH.P","ant.Nov.MiH.P","for.Dec.MiH.P","for.Jan.MiH.P","for.Feb.MiH.P","for.Mar.MiH.P","for.Apr.MiH.P","for.May.MiH.P","for.Jun.MiH.P","for.Jul.MiH.P","for.Aug.MiH.P","for.Sep.MiH.P","for.Oct.MiH.P","for.Nov.MiH.P","ant.Sep.MiH.E","ant.Oct.MiH.E","ant.Nov.MiH.E","for.Dec.MiH.E","for.Jan.MiH.E","for.Feb.MiH.E","for.Mar.MiH.E","for.Apr.MiH.E","for.May.MiH.E","for.Jun.MiH.E","for.Jul.MiH.E","for.Aug.MiH.E","for.Sep.MiH.E","for.Oct.MiH.E","for.Nov.MiH.E","ant.Sep.MiH.R","ant.Oct.MiH.R","ant.Nov.MiH.R","for.Dec.MiH.R","for.Jan.MiH.R","for.Feb.MiH.R","for.Mar.MiH.R","for.Apr.MiH.R","for.May.MiH.R","for.Jun.MiH.R","for.Jul.MiH.R","for.Aug.MiH.R","for.Sep.MiH.R","for.Oct.MiH.R","for.Nov.MiH.R","ant.Sep.Sup.P","ant.Oct.Sup.P","ant.Nov.Sup.P","for.Dec.Sup.P","for.Jan.Sup.P","for.Feb.Sup.P","for.Mar.Sup.P","for.Apr.Sup.P","for.May.Sup.P","for.Jun.Sup.P","for.Jul.Sup.P","for.Aug.Sup.P","for.Sep.Sup.P","for.Oct.Sup.P","for.Nov.Sup.P","ant.Sep.Sup.E","ant.Oct.Sup.E","ant.Nov.Sup.E","for.Dec.Sup.E","for.Jan.Sup.E","for.Feb.Sup.E","for.Mar.Sup.E","for.Apr.Sup.E","for.May.Sup.E","for.Jun.Sup.E","for.Jul.Sup.E","for.Aug.Sup.E","for.Sep.Sup.E","for.Oct.Sup.E","for.Nov.Sup.E","ant.Sep.Sup.R","ant.Oct.Sup.R","ant.Nov.Sup.R","for.Dec.Sup.R","for.Jan.Sup.R","for.Feb.Sup.R","for.Mar.Sup.R","for.Apr.Sup.R","for.May.Sup.R","for.Jun.Sup.R","for.Jul.Sup.R","for.Aug.Sup.R","for.Sep.Sup.R","for.Oct.Sup.R","for.Nov.Sup.R"
"22",131.73,72.35,104.93,96.95,72.3,38.97,138.44,75.11,102.99,130.11,87.89,64.2,51.51,81.9,74.39,122.854819,165.857872,110.318314,58.31614,31.677766,27.833643,7.098167,5.336879,14.842323,20.378827,70.288993,93.479431,164.379705,144.723692,149.450797,46.27,39.31,110.4,105.17,85.7,51.88,187.28,94.25,61.62,55.98,19.79,9.87,6.19,16.17,60.86,68.84,76.79,100.03,100.19,45.32,51.58,92.95,104.73,83.56,63.86,43.95,33.86,54.94,90.19,88.55,79.217,98.831,82.442,95.56,83.876,52.7,15.441,11.458,0.17123,2.1198,43.047,53.57,105.55,67.206,92.973,39.9,84.2,201.1,228.2,220.6,168.5,332.6,308.2,193.8,110.5,51.3,39,45.8,54.7,120.2,101.51,64.47,51,98.14,44.93,37.24,71.59,63.21,124.09,85.94,64.23,64.44,60.93,75.83,61.69,51.677,77.52,71.86,95.16,49.101,39.964,0.50829,6.5705,-3.6464,-4.7479,9.2195,17.278,77.899,56.416,106.37,42.1,51.1,57,45,85.3,51.5,123.9,114.2,114.3,70,38.2,35.1,24.5,28.4,43.1,102.15,40.1,56.63,62.5,37.17,34.63,56.54,40.58,99.44,88.27,86.67,102.86,77.3,48.87,52.32,43.448372,68.904063,68.246368,108.659046,80.261168,48.488471,10.82735,18.255155,0.758556,-4.125925,-3.669,7.645381,58.313973,44.813868,99.753359,37.05,30.76,30.93,16.25,14.44,13.48,48.68,67.76,90.44,51.99,34.5,30.03,22.92,31.49,25.63
"23",51.51,81.9,74.39,80.82,79.31,62.56,88.45,77.23,109.81,82.65,46.94,65.22,70.12,34.87,103.19,164.379705,144.723692,149.450797,98.377059,27.031748,26.282261,18.099778,3.872687,15.67523,32.550185,72.20955,100.608412,160.798773,149.089384,113.787385,6.19,16.17,60.86,92.37,137.54,96.9,169.01,121.12,96.93,27.49,13.4,8,10.81,5.9,76.53,54.94,90.19,88.55,107.49,66.47,48.57,74.16,65.64,108.38,84.43,67.54,52.15,68.34,38.86,81.09,105.55,67.206,92.973,108.35,80.86,56.822,52.11,9.3185,1.4859,4.1005,35.192,54.856,97.488,87.62,69.515,45.8,54.7,120.2,191.3,204.9,171.8,234.5,308.8,243.4,96.2,75,46.2,47.5,46.8,120.3,60.93,75.83,61.69,68.09,79.13,48.13,54.42,77.55,86.27,96.6,63.87,63.72,76.14,54.06,60.11,77.899,56.416,106.37,111.62,55.142,47.325,38.757,5.1664,-0.0039218,-3.4381,3.4756,38.352,76.993,67.571,87.273,24.5,28.4,43.1,51.8,62.6,53.7,93.5,130.2,103.3,66.3,40.5,27.5,26.3,32.3,49.2,77.3,48.87,52.32,49.68,56.01,34.96,30.94,79.89,70.12,103.44,89.41,109.14,71.98,57.27,72.39,58.313973,44.813868,99.753359,105.139754,81.958842,54.150532,48.878921,7.141117,2.40023,-4.719749,-4.495333,6.022844,57.475919,48.911636,80.360349,22.92,31.49,25.63,21.5,14.33,10.58,14.16,70.2,99.03,71.91,39.89,34.02,26.33,29.67,37.11
"24",70.12,34.87,103.19,67.68,91.56,77.18,62.67,55.76,72.15,107.58,54.86,166.93,79.8,59.41,74.89,160.798773,149.089384,113.787385,74.416948,32.339192,23.224398,21.932513,9.11995,2.215563,22.97462,86.397738,96.184583,164.35816,137.2505,115.399316,10.81,5.9,76.53,87.55,120.7,123.34,121.46,78.31,45.96,45.21,11.05,35.67,29.85,14.83,12.72,68.34,38.86,81.09,70.49,61.6,71.35,86.44,50.82,61.93,95.83,62.84,74.84,106.55,42.91,56.59,97.488,87.62,69.515,82.313,87.931,45.273,55.482,21.044,-1.1569,4.4733,54.463,72.519,76.439,59.705,65.753,47.5,46.8,120.3,170.7,160.8,146.3,249.7,247.9,148.7,91.3,43.3,44.7,91.2,122.9,95.6,76.14,54.06,60.11,41.98,76.66,57.5,59.63,57.71,66.14,88.36,64.76,117.71,70.05,23.64,85.07,76.993,67.571,87.273,94.19,86.987,34.538,42.251,11.242,-1.7796,-2.9775,14.392,49.815,69.66,65.549,74.907,26.3,32.3,49.2,44.2,55,49,74.5,115.6,106.3,57.8,31.1,28,43.4,23.5,32.6,71.98,57.27,72.39,37.33,85.39,43.49,41.53,33.59,54.08,98.45,49.68,46.91,77.01,42.16,110.1,57.475919,48.911636,80.360349,86.451012,92.288008,50.763337,62.618371,19.958781,0.739088,-4.002935,-3.34971,24.457433,56.367275,64.259945,71.848949,26.33,29.67,37.11,22.55,16.99,13.62,15.83,63.64,117.26,59.49,30.94,18.46,22.17,18.4,37.06
"25",79.8,59.41,74.89,100.52,102.67,100.45,108.77,62.33,71.68,90.27,92.37,51.97,87.41,72.5,26.18,164.35816,137.2505,115.399316,93.116198,33.930024,6.385908,14.338244,7.317244,21.319777,24.963915,66.497388,118.121688,155.116833,181.082997,143.940292,29.85,14.83,12.72,90.72,56.48,237.9,184.34,79.65,63.91,32.25,29.37,10.69,25.97,31.73,8.49,106.55,42.91,56.59,88.75,75.31,60.98,108.85,88.84,104.15,106.05,94.14,58.17,69.33,88.85,29.4,76.439,59.705,65.753,125.26,115.29,37.31,46.208,10.158,2.73,6.472,48.665,66.938,76.281,96.008,98.731,91.2,122.9,95.6,148.6,107.5,241,393.1,300.1,264.1,127.7,96.5,66.2,57.8,142.3,99.3,70.05,23.64,85.07,55.51,66.37,59.19,121.23,47.62,84.47,61.91,56.88,30.57,51.61,48.35,41.56,69.66,65.549,74.907,103.1,84.289,31.235,28.265,10.042,1.9044,-1.4757,11.764,53.073,84.565,97.107,111.02,43.4,23.5,32.6,69,42.4,64.5,136.1,145.3,101.8,47.1,37.6,23.5,21.7,22.7,26,77.01,42.16,110.1,48.9,66.91,51.13,95.9,44.4,20.67,81.24,44.35,31.77,28.29,30.77,33.63,56.367275,64.259945,71.848949,105.775318,105.922963,54.545422,51.318889,10.56442,5.767197,-3.920001,-2.719926,29.178346,88.131688,75.684976,113.392944,22.17,18.4,37.06,23.84,13.13,13.99,29.23,111.99,81.97,51.65,28.9,19.5,11.45,12.52,11.35
"26",87.41,72.5,26.18,38.77,45.23,43.99,96.55,105.11,40.77,83.72,102.59,140.97,163.33,59.85,94.95,155.116833,181.082997,143.940292,69.024543,24.186326,15.028536,14.333136,0.860642,6.607001,31.835129,63.952971,102.334124,120.898143,182.0373,125.598765,25.97,31.73,8.49,16.58,11.89,65.51,186.15,138.21,43.32,23.26,29.9,30.16,80.28,20.64,40.21,69.33,88.85,29.4,51.8,77.77,37.59,78.67,69.07,24.85,55.09,65.01,132.48,145.15,72.25,120.81,76.281,96.008,98.731,137.09,98.41,36.08,15.073,8.8039,1.467,12.268,40.867,66.778,55.867,74.603,76.408,57.8,142.3,99.3,79.2,39.4,62.5,372.8,269.1,109,53.8,55.7,70,129,203.3,198.5,51.61,48.35,41.56,40.71,48.3,49.23,89.93,49.83,29.76,57.32,79.72,112.24,115.3,55.47,91.12,84.565,97.107,111.02,141.59,81.936,24.447,20.502,11.743,3.9557,-1.1271,9.7158,32.503,32.9,74.146,95.08,21.7,22.7,26,22.7,18.6,26.2,107.8,114.6,49.1,29,25.7,27,36.9,51,56.9,28.29,30.77,33.63,50.05,52.04,43.71,95.01,37.37,36.49,74.87,90.97,129.58,154.97,61.22,80.48,88.131688,75.684976,113.392944,127.515513,85.419119,43.174444,32.206307,22.796978,5.266857,-3.738941,-3.791071,18.921611,23.211495,62.595155,86.735163,11.45,12.52,11.35,7.95,7.09,6.68,45.16,89.31,64.84,37.99,30.55,25.13,61.56,49.73,41.7
"27",163.33,59.85,94.95,113.07,95.13,31.55,82.92,72.61,85.3,70.7,54.05,63.18,66,78.54,53.4,120.898143,182.0373,125.598765,79.158337,29.305525,10.75015,10.805404,3.567955,-3.198424,20.01801,63.746855,87.024343,135.11785,164.33985,127.162601,80.28,20.64,40.21,167.97,51.37,24.81,208.8,171.55,62.61,23.21,13.45,7.37,8.22,28.06,15.4,145.15,72.25,120.81,127.54,132.38,31.84,60.18,51.78,54.56,41.61,43.36,81.08,104.38,62.58,49.72,55.867,74.603,76.408,124.61,90.624,50.036,28.872,8.9794,1.6343,-0.30211,23.125,46.222,77.271,72.3,80.028,129,203.3,198.5,254.3,168.2,100.8,199.3,461.2,222.6,69.7,37.3,36.7,57.8,60.9,59.6,115.3,55.47,91.12,77.79,65.22,21.94,27.67,50.28,79.69,66.18,70.57,80.19,150.5,55.73,55.79,32.9,74.146,95.08,104.98,63.439,44.123,28.84,5.6046,-2.0033,-2.3653,3.4213,27.255,64.528,71.552,100.28,36.9,51,56.9,66,44.2,27.9,50.3,124.4,98.5,45,35.7,27.9,41.8,51.7,37.7,154.97,61.22,80.48,74.24,42.33,22.5,25.5,29.9,80.14,70.69,107.17,112.44,71.08,36.08,69.09,23.211495,62.595155,86.735163,109.170232,107.780769,53.085672,40.105703,21.738971,2.275114,-4.288756,-3.586159,-3.152826,43.482919,77.000173,111.114065,61.56,49.73,41.7,32.54,20.31,13.28,14.1,55,84.36,56.97,37.18,37.02,25.42,20.21,13.47
"28",66,78.54,53.4,65.92,82.06,61.81,77.25,111.04,86.16,80.29,74.1,114.03,76.53,83,96.51,135.11785,164.33985,127.162601,90.225406,32.671342,8.812494,13.378804,0.02947,8.966175,29.882898,52.900376,108.627653,128.868962,169.715333,116.814917,8.22,28.06,15.4,63.59,66.38,54.77,180.58,167.43,74.54,28.43,27.7,23.5,38.58,25.49,61.74,104.38,62.58,49.72,75.44,124.87,46.89,51.31,93.94,73.55,48.81,46.24,84.73,101.47,92.1,73.38,77.271,72.3,80.028,111.2,74.646,59.501,23.152,8.3481,-0.13681,7.131,25.863,72.724,91.694,87.023,60.677,57.8,60.9,59.6,102.4,172,105.8,393.2,329.7,149.2,77.6,42.3,45.3,91.8,107.1,112.5,150.5,55.73,55.79,66.47,79.11,38.53,91.79,79.76,64.26,82.84,45.22,92.7,26.28,88.22,79.32,64.528,71.552,100.28,118.74,69.366,32.231,5.4181,4.478,-1.5798,-3.9701,1.8441,14.903,45.604,80.388,82.441,41.8,51.7,37.7,36,33.4,28.9,126.2,171.7,128.7,64.8,43,35.3,27.7,34.7,57.3,71.08,36.08,69.09,56.74,48.77,52.7,109.34,57.52,106.77,112.02,74.89,69.57,66.48,106.02,55.63,43.482919,77.000173,111.114065,106.480675,87.463654,26.843993,10.837162,3.574655,-2.221937,-4.562763,-3.795844,17.861543,41.007789,65.666748,81.039437,25.42,20.21,13.47,9.77,8.39,8.3,22.28,93.13,141.04,77.14,37.78,23.9,25.84,36.6,41.35
"29",76.53,83,96.51,88.69,45.19,29.49,99.75,81.08,67.52,99.29,116.69,125.25,89.35,68.13,51.3,128.868962,169.715333,116.814917,80.103715,43.332042,28.540188,14.098513,1.392537,6.818784,37.814509,53.502766,80.778754,164.499063,217.173404,130.595594,38.58,25.49,61.74,126.93,57.55,41.07,159.57,126.48,51.24,58.81,29.46,27.91,11.78,19.07,14.97,101.47,92.1,73.38,71.16,37.12,29.69,101.81,99.55,32.04,102.32,93.95,59.04,72.47,94.38,61.99,91.694,87.023,60.677,103.5,105.1,61.264,36.118,5.9543,1.2029,15.621,28.344,60.79,100.18,113.45,106.48,91.8,107.1,112.5,196.8,138.5,60.6,223.5,314.8,137.5,84.3,71.3,43.6,44,78.2,143.7,26.28,88.22,79.32,51.66,50.42,28.48,40.37,81.33,51.77,95.87,78.31,86.55,103.63,55.39,34.92,45.604,80.388,82.441,97.361,74.098,47.892,40.954,6.086,-1.5584,-2.3587,2.3098,19.178,73.092,82.46,96.411,27.7,34.7,57.3,68.7,58.3,36.5,57.1,120.2,74.2,54.1,38,32.8,39.1,44.4,37,66.48,106.02,55.63,36.2,87.74,28.06,24.86,40.38,33.86,56.01,74.84,100.5,130.33,59.87,30.03,41.007789,65.666748,81.039437,108.789239,90.888671,50.910881,44.879184,13.837668,2.950569,-3.801045,-3.540989,4.143046,57.68687,76.889039,101.708577,25.84,36.6,41.35,23.18,18.11,13.03,11.91,70.82,72.6,40.62,28.09,24.22,35.47,34.17,24.55
"30",89.35,68.13,51.3,58.25,28.84,90.19,30.41,95.81,69.16,153.59,80.7,84.96,131.55,107.48,55.17,164.499063,217.173404,130.595594,80.734897,31.523076,9.895709,19.154297,3.305841,13.998273,27.501298,74.856375,96.70766,169.803666,165.38297,121.252021,11.78,19.07,14.97,41.17,18.31,145.7,56.54,99.12,66.49,93.39,21.38,11.49,68.52,69.23,34.35,72.47,94.38,61.99,65.45,28.82,105.35,26.87,61.62,62,76.03,84.26,87.72,138.07,97.17,55.68,100.18,113.45,106.48,112.15,65.815,33.98,36.29,10.433,4.2614,-0.89302,16.318,42.237,90.152,75.532,68.015,44,78.2,143.7,154.5,63.4,255.6,188.7,157.3,126.9,76.3,58.3,63.6,103.4,151,180.4,103.63,55.39,34.92,64.23,25.39,65.52,25.77,92.41,55.2,87.17,42.57,86.29,103.69,81.29,45.08,73.092,82.46,96.411,122.32,54.632,23.958,30.971,11.152,2.9166,-2.8999,8.4115,24.543,67.493,74.843,82.83,39.1,44.4,37,43.8,31.8,68,72.2,110,81.5,55.1,36.5,28.2,38,65.3,43.2,130.33,59.87,30.03,52.32,36.68,74.87,40.99,71.53,44.58,139.41,29.93,51.45,45.28,77.26,28.59,57.68687,76.889039,101.708577,132.848655,74.64742,33.514577,31.803529,12.285456,3.359956,-4.367009,-3.015277,11.276508,61.544781,81.378613,91.092211,35.47,34.17,24.55,16.71,13.85,26.91,34.32,85.43,71.04,62.17,33.17,21.44,15,32.02,19.21
"31",131.55,107.48,55.17,68.99,114.72,50.96,95.12,65.06,84.13,92.61,69.42,59.95,82.16,54.75,142.19,169.803666,165.38297,121.252021,87.594295,35.861906,12.82811,13.430878,4.547813,0.762252,29.80174,60.848603,126.490658,117.865998,150.988608,141.174603,68.52,69.23,34.35,45.08,60.48,78.66,260.85,118.3,43.56,43.52,18.4,7.99,13.11,7.57,127,138.07,97.17,55.68,47.89,85.26,41.82,63.88,48.47,73.61,115.57,47.01,71.98,81.79,40.26,115.48,90.152,75.532,68.015,92.721,107.25,44.832,28.827,19.177,-0.59677,-0.37027,18.553,76.027,53.825,72.797,80.709,103.4,151,180.4,105.4,107.8,69.8,241.2,321.4,116,123.7,54.4,45.6,50.7,57.8,149.9,103.69,81.29,45.08,41.09,76.79,22.54,68.21,50.47,60.89,71.44,77.57,68.11,88.62,59.52,101.8,67.493,74.843,82.83,107.64,80.114,40.21,18.542,5.9511,-1.0865,-2.128,-2.6954,29.894,34.883,49.523,92.788,38,65.3,43.2,39.9,35.8,26.3,82.8,139,83.5,48.2,42.7,27.5,34.4,41,66.7,45.28,77.26,28.59,61.54,82.71,25,38.33,60.11,80.64,43.97,141.72,87.53,105.6,119.61,66.17,61.544781,81.378613,91.092211,110.502963,115.071607,50.290831,30.828415,14.18284,-0.452359,-3.896526,-4.231866,7.231916,26.903595,35.62678,88.039406,15,32.02,19.21,12.72,7.97,7.4,11.93,73.14,113.18,44.93,48.32,25.66,28.02,56.53,47.33
"32",82.16,54.75,142.19,95.32,49.05,32.6,63.5,101.69,118.6,80.35,93.91,77.44,68.9,89.23,108.97,117.865998,150.988608,141.174603,80.557237,44.305274,27.202189,21.12263,9.193414,23.845041,30.806282,69.348019,110.02888,193.681749,186.650155,131.638127,13.11,7.57,127,125.82,55.44,48.67,76.87,122.28,116.82,31.16,30.3,15.14,11.79,42.11,100.48,81.79,40.26,115.48,69.56,40.89,48.44,69.25,94.54,97.66,36.38,45.68,87.16,47.87,95.58,103.05,53.825,72.797,80.709,81.965,92.107,46.493,43.221,12.009,9.6854,16.866,44.861,63.497,94.207,96.338,85.803,50.7,57.8,149.9,188.6,147.3,130.6,155.8,247,259.7,85.5,46.3,50.1,34.3,54.7,120.4,88.62,59.52,101.8,94.53,40.68,36.53,68.06,68.37,137.12,40.61,46.55,70.19,106.68,78.54,74.83,34.883,49.523,92.788,80.703,70.517,38.895,33.642,11.175,-0.6335,-2.7221,8.1153,32.057,87.252,83.128,101.37,34.4,41,66.7,96.3,66.5,52.4,81.1,111.4,120.9,75.7,33.7,28.1,29.7,46.1,47.3,105.6,119.61,66.17,72.36,46.35,28.05,46.6,45.81,77.21,58.41,71.4,73.26,108.62,98.18,89,26.903595,35.62678,88.039406,76.954685,76.636166,47.990566,48.152466,15.869321,1.531905,-4.226557,-3.722586,10.806835,67.534587,65.605641,95.200655,28.02,56.53,47.33,39.16,24.8,17.36,38.1,75.19,85.04,57.53,37.8,24.39,25.07,50.85,36.47
"33",68.9,89.23,108.97,101.91,57.12,70.76,78.91,73.28,124.37,83.4,65.19,85.7,95.16,57.69,68.49,193.681749,186.650155,131.638127,111.729185,24.356614,9.48053,20.149766,6.258496,22.835256,27.641664,77.671837,102.956571,147.390999,110.774689,176.735107,11.79,42.11,100.48,119.6,35.89,138.76,152.35,126.82,102.4,38.06,16.19,10.92,13.19,8.14,46.95,47.87,95.58,103.05,122.71,46.39,77.77,45.81,96.64,106.19,61,52.33,97.09,79.74,27.58,62.38,94.207,96.338,85.803,143.55,80.212,33.634,55.186,5.5659,2.4358,7.5876,37.038,56.325,91.397,53.477,100.11,34.3,54.7,120.4,233.3,103,255.6,212.3,335.4,241.7,122,63.6,53.5,59.2,36.8,71.9,106.68,78.54,74.83,81.02,38.48,38.98,55.42,63.81,87.79,89.81,59.92,80.66,110.09,84.24,77.35,87.252,83.128,101.37,145.51,58.691,23.918,44.175,9.5206,-0.86568,-5.0485,4.7514,31.527,70.978,50.516,103.54,29.7,46.1,47.3,51,36.6,82.5,79.5,102.4,79.9,65.5,42.3,26.2,34.8,40.3,67.5,108.62,98.18,89,74.6,51.14,37.02,42.98,43.73,49.24,135.17,69.57,84.21,93.37,65.69,40.35,67.534587,65.605641,95.200655,142.281669,82.835457,28.133142,48.831005,12.464095,3.212428,-4.606983,-3.713356,3.517115,50.089055,55.85309,101.283104,25.07,50.85,36.47,22.41,15.03,26.68,20.75,86.34,82.05,71.95,41.22,27.05,25.89,30.37,29.86
"34",95.16,57.69,68.49,93.73,59.77,97.75,122.1,49.16,74.79,69.18,85.56,101.34,69.08,92.19,187.24,147.390999,110.774689,176.735107,78.506321,50.147859,10.971074,10.860755,4.512739,22.342153,47.170581,73.886628,113.585649,145.418227,162.924069,121.082209,13.19,8.14,46.95,80.73,61.1,137.71,185.1,123.79,35.03,34.6,13.8,11.98,7.43,32.46,195.52,79.74,27.58,62.38,73.1,72.72,83.05,75.51,38.8,59.75,61.37,56.87,74.76,76.34,73.95,161.9,91.397,53.477,100.11,99.941,110.99,44.323,39.056,14.446,1.2149,15.699,36.82,60.745,63.9,78.444,87.074,59.2,36.8,71.9,159.4,157.3,152.8,323.4,234.2,100.3,71.5,49.8,33.6,53.8,91.2,247.3,110.09,84.24,77.35,81.84,68.42,82.65,86.96,68.61,70.32,43.99,71.65,103,101.22,87.15,130.26,70.978,50.516,103.54,96.179,84.168,30.612,13.61,0.25748,-0.22689,-0.15185,12.907,30.229,52.247,70.945,111.07,34.8,40.3,67.5,71.5,62.6,60.2,137.8,170.3,93.5,45.6,33.6,33.7,39.8,48.8,85.4,93.37,65.69,40.35,78.13,47.14,47.94,46.93,51.78,100.11,60.06,94.45,97.2,145.12,76.39,127.69,50.089055,55.85309,101.283104,104.732779,87.96007,46.113823,32.685783,12.910419,0.831273,-3.825543,-3.551779,7.448124,43.394587,44.345643,102.491259,25.89,30.37,29.86,30.73,19.57,14.01,26.44,90.3,86.63,56.88,41.63,38.25,43.34,62.84,49.93
"35",69.08,92.19,187.24,55.24,60.7,83.72,75.1,75.48,87.42,136.71,112.62,89.64,136.75,120.51,78.35,145.418227,162.924069,121.082209,132.562105,25.070737,11.669765,12.412185,1.39825,0.779063,29.545402,52.500992,134.700638,95.673305,155.532545,147.402504,7.43,32.46,195.52,78.93,79.18,108.7,141.11,77.52,55.96,56.55,33.28,14.02,37.76,71.16,39.08,76.34,73.95,161.9,73.54,55.38,55.43,64.75,66.3,72.29,109.45,85.69,100.58,170.16,78.07,53.66,63.9,78.444,87.074,152.28,85.389,49.284,30.495,5.5392,1.2961,11.252,23.742,76.611,57.105,70.258,97.12,53.8,91.2,247.3,142.7,168.2,137.3,270.1,253.7,129.8,126.2,83.9,82.4,108.9,168.7,126.1,101.22,87.15,130.26,79.5,40.84,44.41,64.8,44.37,67.8,90.76,99.32,61.7,221.34,69.02,30.75,52.247,70.945,111.07,136.73,63.602,41.323,20.966,10.811,-0.32359,-2.9898,-4.3468,48.613,48.097,56.444,127.84,39.8,48.8,85.4,58.5,50.6,39.6,99.6,126.3,70.6,52.8,44.4,30.5,88.3,90.3,41.5,145.12,76.39,127.69,71.34,44.17,35.75,51.92,52.17,29.24,92.68,94.57,89.23,91.84,62.78,52.67,43.394587,44.345643,102.491259,133.782298,84.122229,39.67892,29.637261,10.727497,5.439031,-3.947079,-3.766059,12.321621,34.134866,63.819555,121.74056,43.34,62.84,49.93,26.19,18.51,14.72,25.91,118.36,87.22,55.55,41.61,29.95,32.23,31.44,27.68
"36",136.75,120.51,78.35,83.08,62.64,24.99,57.03,59,61.62,106.13,87.44,115.84,72.2,73.57,58.94,95.673305,155.532545,147.402504,71.187537,39.885262,25.717778,19.422959,4.933484,16.872685,42.609065,69.501017,146.509412,124.232743,199.803042,120.469974,37.76,71.16,39.08,101.82,38.26,41.87,76.83,94.17,27.55,28.92,25.11,34.77,14.8,20.29,20.98,170.16,78.07,53.66,87.22,63.37,25.56,60.12,80,32.42,84.77,74.07,72.32,110.22,61.9,98.2,57.105,70.258,97.12,97.424,92.709,50.917,32.494,7.2595,6.5802,19.521,47.984,87.112,58.597,89.891,88.018,108.9,168.7,126.1,209.2,115.2,69.4,215.7,267.4,86.6,73.9,53.9,35,61.2,67.9,103.3,221.34,69.02,30.75,36.39,39.37,19.59,37.6,42.77,56.58,67.18,52.47,127.77,91.87,74.16,75.29,48.097,56.444,127.84,106.28,73.331,36.712,41.461,11.457,1.5127,-1.2093,17.214,55.815,56.987,114.09,98.369,88.3,90.3,41.5,42.5,35.1,31.7,63,71.1,43,29.9,22.2,24.6,24.3,27.1,40.1,91.84,62.78,52.67,32.43,32.4,25.45,21.99,16.18,73.43,37.69,109.71,89.36,62.33,60.94,53.23,34.134866,63.819555,121.74056,109.282871,92.734855,47.90757,56.031269,21.755868,3.341176,-3.940145,-3.089771,30.478261,62.125738,111.408721,103.745716,32.23,31.44,27.68,19.28,15.99,13.74,25.76,44.1,53.54,32.77,24.02,18.41,14.86,21.54,21.86
