"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.57,183.53,183.48,183.45,183.5,183.61,183.69,183.78,183.83,183.82,183.76,183.68
2022,183.59,183.53,183.5,183.52,183.6,183.67,183.75,183.81,183.83,183.84,183.8,183.73
2023,183.66,183.62,183.58,183.58,183.7,183.82,183.88,183.91,183.9,183.86,183.82,183.76
2024,183.67,183.6,183.55,183.56,183.59,183.67,183.75,183.79,183.78,183.75,183.7,183.61
2025,183.49,183.41,183.38,183.42,183.51,183.62,183.71,183.82,183.9,183.83,183.77,183.7
2026,183.6,183.52,183.49,183.5,183.6,183.72,183.77,183.78,183.76,183.71,183.65,183.54
2027,183.42,183.32,183.27,183.29,183.35,183.41,183.46,183.48,183.47,183.44,183.38,183.29
2028,183.22,183.21,183.2,183.25,183.38,183.52,183.59,183.61,183.59,183.55,183.52,183.44
2029,183.34,183.28,183.23,183.22,183.29,183.39,183.47,183.52,183.52,183.48,183.43,183.33
2030,183.23,183.16,183.13,183.15,183.25,183.35,183.4,183.45,183.46,183.42,183.36,183.29
2031,183.22,183.16,183.15,183.19,183.25,183.36,183.47,183.49,183.46,183.39,183.32,183.23
2032,183.13,183.07,183.05,183.06,183.11,183.16,183.21,183.31,183.32,183.3,183.28,183.16
2033,183.05,182.99,182.96,182.98,183.1,183.24,183.32,183.33,183.31,183.26,183.18,183.06
2034,182.97,182.9,182.84,182.84,182.9,182.97,183.09,183.19,183.23,183.23,183.16,183.06
2035,182.97,182.91,182.89,182.93,183.05,183.19,183.28,183.35,183.38,183.36,183.3,183.24
2036,183.2,183.15,183.12,183.13,183.16,183.24,183.3,183.32,183.32,183.27,183.21,183.11
2037,183.01,182.97,182.95,183.01,183.15,183.27,183.35,183.4,183.46,183.51,183.5,183.46
2038,183.4,183.32,183.25,183.27,183.37,183.47,183.56,183.62,183.62,183.62,183.64,183.59
2039,183.51,183.48,183.44,183.42,183.47,183.53,183.57,183.57,183.57,183.6,183.61,183.57
2040,183.47,183.38,183.33,183.34,183.38,183.45,183.53,183.57,183.59,183.58,183.52,183.47
2041,183.38,183.31,183.27,183.29,183.39,183.49,183.58,183.68,183.69,183.65,183.6,183.54
2042,183.45,183.38,183.31,183.29,183.34,183.43,183.5,183.52,183.5,183.46,183.43,183.35
2043,183.24,183.16,183.1,183.09,183.14,183.23,183.29,183.3,183.29,183.26,183.23,183.18
2044,183.06,182.98,182.98,183.02,183.09,183.18,183.22,183.25,183.27,183.28,183.25,183.17
2045,183.09,183.03,182.99,183.03,183.14,183.25,183.3,183.33,183.35,183.36,183.35,183.28
2046,183.17,183.08,183.03,183.05,183.13,183.23,183.29,183.31,183.37,183.47,183.48,183.39
2047,183.28,183.2,183.13,183.13,183.2,183.26,183.3,183.34,183.36,183.38,183.37,183.31
2048,183.24,183.16,183.12,183.15,183.23,183.31,183.38,183.44,183.45,183.45,183.43,183.33
2049,183.23,183.17,183.14,183.18,183.29,183.4,183.45,183.47,183.46,183.47,183.46,183.4
2050,183.32,183.26,183.21,183.2,183.26,183.34,183.4,183.41,183.39,183.37,183.31,183.21
2051,183.12,183.07,183.04,183.1,183.2,183.27,183.35,183.44,183.52,183.6,183.57,183.48
2052,183.41,183.35,183.32,183.33,183.38,183.47,183.53,183.56,183.57,183.56,183.5,183.39
2053,183.3,183.21,183.15,183.16,183.25,183.36,183.46,183.52,183.56,183.54,183.49,183.42
2054,183.31,183.2,183.12,183.1,183.15,183.22,183.27,183.32,183.37,183.42,183.43,183.36
2055,183.25,183.18,183.14,183.15,183.27,183.4,183.46,183.48,183.46,183.41,183.38,183.34
2056,183.26,183.18,183.14,183.15,183.23,183.35,183.43,183.47,183.49,183.52,183.51,183.45
2057,183.37,183.3,183.27,183.29,183.35,183.43,183.51,183.53,183.54,183.56,183.56,183.5
2058,183.41,183.34,183.27,183.25,183.31,183.4,183.47,183.5,183.52,183.53,183.49,183.41
2059,183.32,183.27,183.23,183.25,183.38,183.51,183.54,183.54,183.53,183.5,183.41,183.3
2060,183.21,183.17,183.15,183.16,183.25,183.37,183.45,183.54,183.6,183.63,183.61,183.55
2061,183.45,183.36,183.33,183.33,183.38,183.44,183.47,183.48,183.45,183.39,183.31,183.23
2062,183.16,183.09,183.05,183.06,183.13,183.23,183.32,183.39,183.41,183.39,183.36,183.28
2063,183.2,183.18,183.22,183.28,183.34,183.42,183.47,183.49,183.51,183.51,183.48,183.41
2064,183.32,183.26,183.23,183.25,183.3,183.36,183.43,183.46,183.48,183.47,183.44,183.37
2065,183.3,183.23,183.22,183.25,183.29,183.36,183.41,183.39,183.32,183.24,183.15,183.05
2066,182.97,182.93,182.92,182.95,183.02,183.08,183.12,183.15,183.18,183.16,183.12,183.07
2067,183.02,182.98,182.96,183.01,183.09,183.17,183.25,183.29,183.31,183.31,183.27,183.2
2068,183.12,183.07,183.05,183.14,183.32,183.47,183.59,183.65,183.64,183.59,183.51,183.42
2069,183.33,183.26,183.23,183.23,183.24,183.25,183.26,183.26,183.3,183.39,183.39,183.3
2070,183.21,183.17,183.14,183.13,183.25,183.37,183.44,183.5,183.52,183.48,183.41,183.32
2071,183.23,183.15,183.08,183.1,183.24,183.39,183.49,183.52,183.53,183.51,183.46,183.38
2072,183.28,183.2,183.15,183.15,183.22,183.3,183.38,183.45,183.5,183.49,183.44,183.36
2073,183.28,183.22,183.17,183.2,183.29,183.36,183.42,183.47,183.54,183.6,183.59,183.51
2074,183.42,183.35,183.32,183.34,183.41,183.49,183.54,183.57,183.58,183.56,183.49,183.39
2075,183.27,183.18,183.1,183.1,183.18,183.3,183.38,183.39,183.35,183.3,183.26,183.15
2076,183.05,182.98,182.95,182.97,183.09,183.23,183.34,183.44,183.48,183.57,183.62,183.52
2077,183.4,183.33,183.29,183.28,183.35,183.45,183.51,183.56,183.58,183.58,183.55,183.46
2078,183.38,183.32,183.26,183.25,183.38,183.55,183.62,183.65,183.62,183.52,183.4,183.27
2079,183.16,183.11,183.11,183.15,183.28,183.43,183.53,183.56,183.53,183.52,183.49,183.38
2080,183.27,183.17,183.1,183.1,183.15,183.21,183.27,183.36,183.43,183.45,183.44,183.41
2081,183.33,183.24,183.17,183.16,183.21,183.26,183.32,183.37,183.37,183.34,183.28,183.17
2082,183.08,183.05,183.04,183.09,183.22,183.31,183.35,183.39,183.49,183.59,183.61,183.54
2083,183.46,183.39,183.36,183.4,183.5,183.6,183.62,183.62,183.62,183.6,183.55,183.46
2084,183.37,183.31,183.28,183.27,183.35,183.46,183.54,183.6,183.59,183.5,183.37,183.25
2085,183.14,183.06,183.04,183.08,183.22,183.4,183.48,183.48,183.47,183.43,183.38,183.3
2086,183.2,183.14,183.08,183.1,183.2,183.29,183.34,183.34,183.33,183.32,183.29,183.23
2087,183.13,183.06,183.03,183.06,183.19,183.36,183.45,183.48,183.53,183.59,183.57,183.49
2088,183.4,183.33,183.29,183.34,183.4,183.46,183.52,183.53,183.57,183.66,183.66,183.56
2089,183.44,183.35,183.34,183.38,183.46,183.56,183.63,183.65,183.61,183.58,183.54,183.42
2090,183.3,183.26,183.24,183.27,183.42,183.56,183.61,183.61,183.57,183.51,183.44,183.33
