"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.62,175.59,175.69,175.73,175.74,175.74,175.73,175.68,175.65,175.61,175.56,175.67
2022,175.62,175.53,175.51,175.56,175.58,175.57,175.56,175.53,175.49,175.43,175.36,175.33
2023,175.26,175.23,175.3,175.38,175.39,175.45,175.45,175.42,175.34,175.29,175.26,175.23
2024,175.28,175.24,175.3,175.34,175.32,175.3,175.27,175.24,175.17,175.08,175.02,175.03
2025,174.91,174.83,174.94,175.07,175.12,175.19,175.23,175.21,175.17,175.13,175.1,175.1
2026,175.26,175.19,175.25,175.28,175.35,175.35,175.33,175.27,175.17,175.08,174.99,174.94
2027,174.87,174.89,175.01,175.13,175.21,175.26,175.24,175.22,175.14,175.06,175.09,175.12
2028,175.06,175.09,175.22,175.33,175.34,175.34,175.33,175.29,175.26,175.3,175.32,175.32
2029,175.31,175.33,175.49,175.54,175.57,175.58,175.58,175.56,175.48,175.43,175.44,175.44
2030,175.36,175.29,175.41,175.56,175.59,175.6,175.59,175.55,175.49,175.45,175.37,175.33
2031,175.32,175.31,175.37,175.4,175.42,175.43,175.4,175.38,175.37,175.31,175.25,175.21
2032,175.18,175.18,175.2,175.25,175.35,175.38,175.37,175.33,175.28,175.2,175.13,175.1
2033,175.06,175.05,175.18,175.33,175.37,175.37,175.37,175.35,175.31,175.24,175.14,175.06
2034,175.02,174.99,175.03,175.15,175.15,175.1,175.03,174.96,174.92,174.87,174.82,174.79
2035,174.75,174.75,174.84,174.93,174.99,174.96,174.93,174.9,174.84,174.79,174.78,174.79
2036,174.78,174.8,174.87,174.91,174.93,174.92,174.91,174.89,174.85,174.79,174.75,174.75
2037,174.7,174.7,174.82,174.87,174.88,174.89,174.86,174.81,174.72,174.63,174.59,174.7
2038,174.6,174.53,174.6,174.65,174.8,174.84,174.83,174.77,174.71,174.66,174.59,174.64
2039,174.68,174.64,174.73,174.95,175,175.04,175.05,175.01,174.98,174.99,174.94,174.93
2040,174.88,174.89,175.03,175.13,175.18,175.21,175.18,175.14,175.11,175.17,175.17,175.18
2041,175.21,175.23,175.27,175.35,175.41,175.44,175.42,175.39,175.3,175.21,175.15,175.11
2042,175.15,175.15,175.2,175.28,175.29,175.28,175.28,175.25,175.19,175.13,175.06,175.02
2043,174.98,174.95,174.99,175.04,175.07,175.02,174.98,174.92,174.87,174.92,174.91,174.87
2044,174.82,174.79,174.9,174.93,174.95,174.97,174.99,174.97,174.95,174.92,174.84,174.83
2045,174.84,174.82,174.94,175.03,175.04,175.04,175.03,175.02,174.97,174.95,175.01,175.15
2046,175.14,175.03,175.16,175.17,175.15,175.08,175.01,174.94,174.87,174.83,174.79,174.75
2047,174.66,174.64,174.74,174.84,174.93,174.98,174.97,174.93,174.86,174.79,174.77,174.87
2048,174.86,174.79,174.84,174.87,174.89,174.89,174.87,174.86,174.83,174.77,174.71,174.78
2049,174.76,174.76,174.8,174.88,174.93,174.96,175,175.02,174.99,174.98,175,175.04
2050,174.97,174.92,175,175.09,175.22,175.24,175.24,175.22,175.15,175.04,174.98,174.96
2051,174.95,174.92,174.99,175.04,175.07,175.08,175.07,175.05,175.02,174.97,174.9,174.97
2052,174.92,174.91,175.08,175.16,175.21,175.24,175.23,175.22,175.21,175.14,175.07,175.05
2053,175.02,175.09,175.17,175.25,175.28,175.23,175.15,175.07,174.98,174.94,174.89,174.85
2054,174.82,174.82,174.87,174.97,175.06,175.11,175.13,175.12,175.07,175,174.95,174.9
2055,174.84,174.89,175,175.08,175.21,175.24,175.26,175.23,175.17,175.15,175.19,175.14
2056,175.11,175.1,175.22,175.25,175.24,175.23,175.2,175.17,175.12,175.03,174.96,174.94
2057,174.87,174.91,174.96,175.06,175.11,175.17,175.18,175.16,175.1,175.02,174.96,174.92
2058,174.86,174.8,174.8,174.8,174.8,174.84,174.85,174.82,174.77,174.73,174.68,174.64
2059,174.63,174.7,174.85,174.95,174.98,175.01,175,174.97,174.9,174.85,174.85,174.97
2060,174.9,174.99,175.11,175.23,175.22,175.25,175.25,175.23,175.18,175.12,175.11,175.12
2061,175.36,175.45,175.51,175.46,175.43,175.4,175.34,175.28,175.23,175.14,175.1,175.1
2062,175.1,175.11,175.11,175.17,175.17,175.14,175.11,175.08,174.99,174.93,174.89,174.82
2063,174.74,174.74,174.83,174.94,175.01,175.01,175.05,175.06,175.04,175.02,174.98,174.97
2064,174.93,174.9,175.03,175.07,175.13,175.18,175.22,175.23,175.18,175.12,175.2,175.24
2065,175.18,175.1,175.21,175.27,175.32,175.35,175.35,175.32,175.3,175.27,175.24,175.2
2066,175.22,175.19,175.22,175.32,175.37,175.34,175.32,175.29,175.22,175.14,175.16,175.14
2067,175.05,175.07,175.18,175.33,175.34,175.41,175.38,175.31,175.28,175.26,175.26,175.27
2068,175.26,175.29,175.33,175.33,175.3,175.32,175.34,175.35,175.28,175.3,175.36,175.3
2069,175.21,175.15,175.22,175.26,175.26,175.24,175.27,175.24,175.16,175.07,174.97,174.89
2070,174.86,174.9,174.98,175.06,175.13,175.18,175.2,175.18,175.13,175.07,175.04,175.03
2071,175,175.06,175.14,175.21,175.2,175.19,175.18,175.14,175.06,174.96,174.89,174.84
2072,174.8,174.78,174.81,174.89,174.93,174.96,175,174.97,174.94,174.87,174.76,174.69
2073,174.65,174.64,174.79,174.89,174.93,174.95,174.95,174.91,174.82,174.7,174.62,174.53
2074,174.46,174.52,174.66,174.69,174.71,174.73,174.71,174.68,174.62,174.55,174.51,174.57
2075,174.59,174.62,174.68,174.77,174.77,174.77,174.76,174.73,174.68,174.65,174.65,174.63
2076,174.63,174.65,174.74,174.79,174.85,174.89,174.88,174.86,174.84,174.79,174.77,174.78
2077,174.74,174.85,175.07,175.14,175.23,175.23,175.25,175.22,175.17,175.18,175.2,175.17
2078,175.21,175.22,175.27,175.36,175.51,175.65,175.72,175.6,175.51,175.45,175.5,175.59
