"","for.Jan.Eri.NBS","for.Feb.Eri.NBS","for.Mar.Eri.NBS","for.Apr.Eri.NBS","for.May.Eri.NBS","for.Jun.Eri.NBS","for.Jul.Eri.NBS","for.Aug.Eri.NBS","for.Sep.Eri.NBS","for.Oct.Eri.NBS","for.Nov.Eri.NBS","for.Dec.Eri.NBS"
"1",112.185518870341,101.219737078011,229.816156561422,171.759840226412,210.303224207413,89.8888266879242,44.2454517206802,3.90769526952156,-59.4299913409698,-108.424803327071,-62.5230073003389,177.764867181326
"2",78.2754901429342,148.557396121295,201.505408268027,98.003085318642,181.541060561982,70.374694017556,32.7381666872823,-17.1875060764767,-70.7929609503667,1.61959683822505,-46.8897528857762,43.9383883796671
"3",-16.1952635275263,51.4476419651746,216.66769626673,157.196483182668,135.340124993647,121.465194934914,57.2495372276537,-67.8467536193731,-71.0990096521563,29.4875394913021,20.1751889907346,178.035850398414
"4",112.271788156008,21.7811096945753,114.082298850946,140.012155001818,111.265834021663,5.19549530173489,-56.4001610726003,18.4700737025015,-169.325758112042,-120.5678201806,-95.8306729561312,-66.2828598011382
"5",125.216390469826,183.198873734548,218.487779553016,137.328737203759,131.285232952428,42.5325237334068,-23.1203591564017,11.6082476917703,-73.5173985901013,-88.3160254014864,-41.0956017548739,64.7405568367454
"6",320.428819456333,232.611839751432,370.723379795945,173.510341802901,141.033615620292,58.6234852536456,41.1022168161928,-29.1412671492793,-34.1419433797846,33.9110707068254,-18.0541174525899,91.6607928859443
"7",-2.10358147562377,-4.62207300590135,96.0549997699071,88.6736887656447,79.9969955002644,138.124712364462,80.0623320320005,4.20876069313844,-31.0869252724621,-129.48962351852,-57.3720693392303,17.1506012829413
"8",193.827155177629,66.8937195984813,226.381863699914,177.264558194894,40.9759884757208,-16.9627434272247,-43.7864844516123,-83.1875707758624,-53.4060099356807,-61.8016735648605,13.6144999432871,193.708990165612
"9",14.9668120984655,133.416631719673,284.020345562636,155.381759399102,101.7008566898,136.998625793983,49.3155789220751,12.5824166079541,-99.9480660864906,-125.965724409074,-77.3672168454312,-3.48736194837135
"10",332.563833180256,71.6791235461579,191.871598266939,198.116685709904,49.4031726840881,2.80375318651341,21.0454422287766,-42.6348744187213,-87.1282564761582,-107.401579877515,31.2841965079926,105.682214078107
"11",84.9728803497136,300.904939745767,136.930831565925,132.019995836634,204.305318813164,78.5803528843358,33.6977526285164,-74.011983448963,-177.58922501683,-141.520798383151,29.8868040829849,-32.7595425726183
"12",39.1499215790176,63.677037390482,128.350393897255,83.9163451422817,43.2323708514659,80.1828989115148,-33.7679034950639,-21.4269553713331,-96.6466731962227,-141.330430664094,-70.3159460683357,21.2299941290349
"13",57.8216994015395,175.761624189835,107.6265154076,165.423167003835,194.897228786308,81.5279219581459,23.5719185038605,-48.256802458976,-80.6928974982975,-63.825595356325,57.6233816434181,127.166138793424
"14",36.1947338126772,144.119552344133,295.570483135259,136.027866685186,154.139345332973,79.793879910199,19.2484619875839,-11.4290362831736,29.364955842966,-30.2667870658436,75.7419864994163,490.284523460735
"15",134.847593920999,110.958529012435,273.984774220512,149.899322123764,268.000594986643,190.238075447843,58.0216631418697,-2.00232437788699,-128.418223319484,-181.30819496883,-22.1854913859549,-39.9578467536504
"16",152.770985278043,126.399127558081,161.00367497809,155.575157935304,145.020979095394,76.5358837085151,-24.5608505998301,-25.8064398030922,-46.3104962512282,-89.5961805475354,-60.2444550400637,-31.6767933734596
