"","for.Jan.StC.NBS","for.Feb.StC.NBS","for.Mar.StC.NBS","for.Apr.StC.NBS","for.May.StC.NBS","for.Jun.StC.NBS","for.Jul.StC.NBS","for.Aug.StC.NBS","for.Sep.StC.NBS","for.Oct.StC.NBS","for.Nov.StC.NBS","for.Dec.StC.NBS"
"1",223.316695465612,457.335476893704,957.122797574454,594.86502144706,296.675227874279,83.6855993385441,12.4082978701205,-5.13181243422858,-74.7982259901906,10.8443951129915,163.029216464133,250.23384491581
"2",208.670565130552,323.241821719543,665.356630710169,240.100591610314,486.554411866645,-45.0288916856876,-47.6718671357045,-103.090057577562,21.98970705178,232.237630535175,83.2428534195783,350.903939082625
"3",33.8989701235562,136.786495213698,958.880028957183,595.353992009595,115.214443478734,149.082618198488,-30.205237956322,-95.8415796496236,-17.7166183828807,379.282260722342,373.731734161381,1069.93701330737
"4",386.055657759345,179.968458538739,544.398527284058,313.31929946735,63.7728314618613,1.31237145618773,-70.0619882191811,-44.0059939686491,-73.5308250652444,-14.9249149645991,107.093632576278,121.67948007064
"5",278.711431591208,268.142958760576,1097.67989145433,384.664367464078,134.185974288089,25.237572931683,-106.96433191321,-26.4902314915446,-48.1886378471876,-32.1535054420069,188.666965282687,385.686366918217
"6",601.889453992425,329.34690829954,912.438454837522,1148.54168486404,245.272111307484,-40.9116092599335,-76.7960953778567,-92.8611067833192,-53.5088640657892,119.352621648116,138.12454815243,261.445934228099
"7",21.1907009593153,7.591523823988,592.884769207276,688.605081624789,123.693644986879,286.704272800908,-37.3392704045997,12.5592284946304,54.1478143416007,-26.9886072587239,32.9837542578808,137.352928767582
"8",621.96184248642,130.817053770808,1127.36045296729,471.626989656374,168.822203810966,-27.5464766674631,-101.64299410712,7.81182301751198,16.3630930855064,132.953837847448,127.162006674492,700.730460972321
"9",132.624235790188,204.192464643497,1039.06411310853,541.09742980113,190.156438431,141.831153223158,-10.8474590956194,-6.63114424263628,-79.8094203866149,-17.3045392042702,103.186143764269,262.2341788733
"10",909.670640697751,93.65064997286,766.601910005838,243.984650566508,-47.7362934950416,-83.491133543006,-30.4413811777322,-67.5350010356958,-85.1214147014561,43.1034838094601,423.881670401938,551.024066240176
"11",169.296649678541,1155.23555158204,355.761256816636,300.690404624762,755.645708827774,145.003633503715,27.7867288291429,-93.5584875153823,-98.517837415994,12.3914852808482,225.189850229995,337.35344597145
"12",264.046634683692,320.439418814582,711.188378217007,330.567864212271,207.808474239988,121.109633699578,-35.3551753112614,-74.2904417546899,-6.15640226293178,-14.9598873499871,132.164704553724,174.559011199807
"13",134.560179135673,529.962729180776,544.344958615707,860.394659036149,499.346136688321,291.919567359657,49.3922588302437,-55.7953424950262,-56.8917261465608,822.396119884715,803.18174198814,961.263415763764
