"","for.Jan.MiH.NBS","for.Feb.MiH.NBS","for.Mar.MiH.NBS","for.Apr.MiH.NBS","for.May.MiH.NBS","for.Jun.MiH.NBS","for.Jul.MiH.NBS","for.Aug.MiH.NBS","for.Sep.MiH.NBS","for.Oct.MiH.NBS","for.Nov.MiH.NBS","for.Dec.MiH.NBS"
"1",17.4627988157094,52.0841234017897,110.043879024133,170.252851285829,172.074057994325,163.858808698951,108.681839290016,70.0351760662967,-11.2632475681658,15.4079529550704,-17.8810519494509,13.0573676514265
"2",20.472782609823,63.5290655408327,66.4299665710745,121.702288785305,143.210127559203,119.158454612643,167.983951275311,53.1407718569478,46.6103062187284,74.8747953229644,28.5784738633928,-4.64288338480608
"3",3.22619495896798,22.251939581782,129.12193041552,160.657730023313,191.897332870052,97.4486171378067,84.2725105193677,-14.9387131755791,27.0760161783403,61.0906933598803,94.2913534522258,117.990242077901
"4",30.76200269206,36.8734736991425,58.0565029067802,131.400333680751,185.114583064759,140.951120379035,69.573969876624,85.6660952003775,1.08474060734149,-32.8799331664318,-14.386466605569,-60.8703924187795
"5",30.8524310215586,46.5086753992728,145.647050573894,132.549360784541,149.810259634667,109.541766281786,101.878596291387,95.1338599740088,44.3398309394386,16.1636072933837,15.344361304096,-2.15609999919393
"6",69.6335984988935,64.4193046737272,162.921317861201,223.558411260575,252.002597235848,142.291947400182,117.354088375386,1.05802042920038,13.4384130332763,97.9431033495656,-23.0691302914422,-18.458807995724
"7",-6.58828995946028,-1.8591652926338,74.47998938978,151.457644790117,98.0912719302718,86.6405262311895,91.2478929494636,43.3459668072604,145.266325237171,4.91274941535944,-16.6414113480618,-19.9900730362309
"8",13.4681526670426,9.3269294463572,93.6855566715436,196.854571959801,155.033486591645,67.2560003298826,82.3001865266028,87.2046810441993,169.737232394319,217.782987258133,5.47183062358912,109.705104304669
"9",-25.698390804335,31.0430149589347,186.610092390596,178.168024258766,129.79014471323,119.027373552785,115.080248895436,108.954774296491,13.2889693781398,-23.458213676562,-46.9179931666738,-29.7687687507483
"10",87.9470839366051,13.8122664288533,104.948956715655,157.154718146309,107.916019901537,75.6219749867971,113.074534201654,7.07232722013782,-23.7806779620197,12.7091293619627,45.9548737228173,38.3571347750726
"11",48.73413869198,104.867191877778,74.270505747492,136.273194482938,188.604085269672,174.938870701262,136.177727298677,33.8959523324042,3.33090750340491,-13.4812663975711,-19.1175974139007,24.6463532252338
"12",16.7207171475723,44.5975841684927,171.701808452363,95.2297350474372,84.2757778422798,160.593384276524,101.171064306419,29.4452475274311,13.7141697490942,-45.4005389518818,16.4559585825485,-11.0698442257863
"13",-4.08118446809511,58.5316492914257,67.1962585116893,226.721190753601,172.343261656954,190.021343808469,76.1693503054419,77.6695325959339,-46.4429278449635,55.8181618260756,71.7718282862133,23.468127910157
"14",13.8587803181049,47.8842602271394,189.38372339757,232.012868427514,275.675743096249,172.793410696911,111.210456814081,74.4276313285904,82.0524135295675,95.0801791868975,58.7377882657904,47.2971269169218
"15",51.2513729027562,56.0696833955562,62.6252945195221,137.208273719745,219.288227375567,148.470387931241,131.584758016878,100.505667274907,95.7377545251201,-46.0552987585255,-13.3618857880199,-65.6004462004905
"16",23.2423906625646,42.6277692532229,46.6980783919738,160.048314313811,135.079477963046,135.316508587746,96.6565220840186,38.7785322873952,92.6646923618986,-11.8902602061471,23.9670490714724,-19.6017392052542
"17",32.0543388996732,51.9938796331244,101.842995937297,306.641945199472,321.743769973192,209.808346661849,184.584851679428,85.3532993659088,71.8222327081769,40.3949063112081,35.2665595723946,9.97948133753106
"18",-22.5615073993119,61.2558659845908,66.6912270536842,173.552223698862,119.278900403207,66.5420736321142,82.9853473320677,145.059240791069,103.166459032394,19.8618298597236,50.2396232124665,-10.7362934875455
"19",-4.86245464161281,38.4831837399108,127.1648750481,240.456340992091,196.48702316065,226.420974459652,108.604727811383,43.9339055795135,31.5192279426884,37.6269997605271,-45.0569658600339,-11.066489904586
"20",-8.21686903695371,71.4855526902565,123.230851483561,211.383207595188,220.514224629098,213.83399219464,119.103830690262,64.1577044245147,15.6288159667065,-29.3082256844132,-22.1103523636582,22.8999906794721
"21",11.1856489796429,23.6734964517156,58.6843844132745,156.762096070986,124.073653074454,74.3683486177772,112.082818875234,78.2997959946377,177.819825270829,6.56350042905062,-15.3671931877114,-25.5376729480726
"22",9.65752683212953,79.3167286102651,102.974133309081,79.7531311235234,132.264197783897,150.013216851619,88.8430863086457,101.75950351666,24.7059461987704,17.1025148310843,51.8854615050962,68.794288876212
"23",47.4090129272968,48.107400366883,206.292007452738,118.060562765094,152.110673948226,100.848575021995,94.2986154233878,16.5324939940781,9.2023690892436,-23.9777269580599,-5.53338139907933,-8.04795427053855
"24",46.6722411963142,46.9014609382913,74.4715772245592,202.649403471824,110.454712794235,102.037263171232,81.711885442504,70.8825080628893,65.2803397736426,136.361332161789,67.1752146204186,37.1871593413731
"25",87.1963903770482,83.5380794471211,61.5530921331692,179.391407098506,197.008872402951,126.474347829402,118.16771488373,45.1559731080382,222.184138468228,58.1142024642733,104.158042980243,2.64656379638187
"26",54.6793498625499,71.7716567007465,127.580854679044,128.894320102747,145.304068184442,119.988094700962,54.0331822981461,40.5113349278053,11.6117422201297,34.3738784120071,-47.3240184292738,-21.8951084955668
"27",-17.0628928032535,84.1341209993516,72.5213814290868,163.714570366703,143.720784647327,105.484740081629,62.2306965059441,22.6581477662825,-27.1168362187221,-6.57394537949344,-14.8095293721275,-8.19471232285449
"28",61.7943550762994,51.6484224218409,54.3629786479134,206.519622665826,127.465085612722,117.992804381381,107.605943114525,16.4246637803949,30.6834118368938,-30.4272413894076,8.80794301348783,-45.7099310250795
"29",-21.1502189348613,96.3825809593344,61.1408662718235,93.1225389745838,122.100029089676,82.2159275077599,83.7698046996951,57.2061624899297,55.1643692086991,31.7779707999639,22.8367064614573,-15.7066640456221
"30",8.7136693037568,74.3953985539318,71.9284969522687,219.425498639116,132.83896649727,103.89767434005,84.1337547960574,91.6079056219166,27.4067449442575,-12.5441439230407,38.9588713343904,71.0662662204965
"31",29.8911145039246,53.2428479359921,160.009688831556,230.934948259648,128.916418580236,118.962840019356,103.372629077067,37.7251930064334,46.3436069350179,112.496104262124,-8.14898113890952,3.50213240558688
"32",31.5635225351496,32.6449443876147,71.4781917624565,164.343815498781,148.097891312673,87.4196812871221,69.0545808964461,63.8894015013443,96.5551845267509,67.0904687472219,4.62201486575049,3.36579014219953
"33",59.9779177737835,118.38432243174,70.2450099121927,225.032031470399,280.665718920248,272.64898061106,179.233602180022,54.3994365679504,124.610838726419,15.2718352098296,-36.3077847633063,-30.6698967087427
"34",45.3704518670827,86.4463957467105,79.0811253897034,215.937529371985,136.260838676633,99.5815111034928,70.805263182141,56.5452964658053,85.0039447425709,1.47689546495743,-2.98369004079075,21.8327936567918
"35",4.1856602878417,57.4679474146457,20.9999381860162,227.15579388934,156.896621858585,147.967070415797,48.6692625151354,77.3558969089217,116.845408935015,113.243576681584,-37.6578371079092,-46.9594386481744
"36",28.6276426881527,18.0213104907349,146.408239985004,112.726589547313,102.517243707611,133.632716824371,79.280967054081,68.0216939203124,64.2756178611073,66.0730424188418,13.8080370739351,35.7434871435507
"37",-2.1317906463819,59.4345393400301,234.303587541745,240.735593619418,157.020027561666,112.392191656883,73.1237764734942,79.6170519163293,23.5313209128306,121.598964995592,12.4662664263935,-36.1305479510377
"38",-26.3628919652884,-19.2981132910555,26.9504873501759,109.391062020642,129.622379335306,146.093171942897,103.228448680164,50.7824492500153,80.2493500124779,4.3473199233979,-28.6822911935776,-47.1571405537113
"39",9.58742339755226,22.1947591172251,126.39849198387,244.113228762236,103.944120159462,112.678118134787,65.3047047656221,68.7834294050087,83.8466755010309,79.3102958872452,-22.1202637381297,-7.00157147591101
"40",92.523281825867,34.8294989777585,33.0408021909197,188.573178579618,117.057998026186,80.599632439506,41.2403679755033,32.8798222606586,-36.4830728409957,-5.1467170231241,-9.87546868387976,-10.4151797807417
"41",80.0929539537043,97.1263026584947,107.964973244805,211.231035924612,175.058438932519,137.357855373556,80.9044897429945,96.7659917446466,20.8704489011561,40.2221444912238,39.6895369490977,24.4593447486379
"42",35.7722111040605,31.2742677576595,104.64314985506,187.059747665473,122.591188114613,205.7696305401,93.5058798669245,14.3495174604841,57.2925006979368,-16.4298619662263,-0.390422251652382,-43.5500652393376
"43",-38.4560737696179,17.6855591372338,69.3979232848633,206.207734480914,167.224255459599,156.237161884393,92.6179749611486,46.9846096240942,12.7210956959972,12.9826189510157,15.1446607508101,1.80616687193349
"44",-14.192939352579,-12.865124737382,90.4763050714612,182.858945684031,164.878523942872,63.0845769937371,81.4496941708026,39.9685514219429,30.0206322940147,24.724434768778,-5.59742942567079,-46.2263012897189
"45",11.539063838609,72.7409476977587,62.1276272769328,217.977909883734,186.510026085291,125.988574400909,111.541284614925,74.1539599072118,45.5193503077439,64.8046164596662,56.821463562975,33.5642270105614
"46",18.7002057737143,150.67410007842,34.9076946463684,79.0238938975396,81.5787192431943,117.332789540123,36.2093876497514,43.9904104649139,69.7780499879329,10.1008216030405,97.2523772009374,38.946488071847
"47",67.087431562712,-15.5478711326948,82.7452953401497,136.856238576077,141.825599034912,156.248356987011,90.013028179899,64.421860523562,53.8584210527777,-18.0555169654785,28.2766026900323,-26.5708201198795
"48",16.1916179612802,54.7891291971517,73.5612973379341,178.698325049221,208.250667077372,177.802181393593,129.9321115933,87.530231571799,146.521331553806,30.1165949834562,-7.58371621237647,-3.77148639541893
"49",9.87168694624769,80.7148749695709,51.9382272443937,170.661512689686,125.332629349091,157.769483143694,125.687671974874,21.0261527292799,72.2847592677474,56.4895869137095,46.3045583912466,8.11576333442723
"50",10.8786891565045,14.8263692754958,63.6017463274164,160.990114253388,145.931378227159,120.910387502982,126.036975514425,99.299382723729,78.4087493732577,-78.1417643893573,6.4596176524373,-6.98189027039325
