,Superior,Michigan-Huron,Erie,Ontario
Jan,50,30,20,30
Feb,50,40,15,40
Mar,80,40,10,25
Apr,40,20,5,0
May,-5,10,10,0
June,10,15,-5,2
July,10,10,-10,3
August,10,8,-20,0
September,10,5,-20,0
October,15,8,-30,0
November,40,10,-10,5
December,70,25,5,25
