"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,174.74,174.94,175.07,175.04,175.06,175.12,175.09,174.96,174.8,174.64,174.57,174.55
2022,174.54,174.7,174.99,175.19,175.2,175.14,175.07,175.01,174.94,174.82,174.74,174.7
2023,174.71,174.71,174.72,174.82,174.89,174.89,174.84,174.76,174.68,174.59,174.5,174.55
2024,174.71,174.82,174.81,174.83,174.93,174.96,174.91,174.86,174.8,174.69,174.67,174.71
2025,174.81,174.93,174.93,174.91,174.9,174.85,174.79,174.73,174.61,174.45,174.35,174.32
2026,174.32,174.39,174.47,174.56,174.64,174.65,174.61,174.54,174.42,174.32,174.27,174.23
2027,174.18,174.18,174.3,174.47,174.51,174.5,174.47,174.41,174.31,174.19,174.11,174.11
2028,174.12,174.17,174.34,174.49,174.52,174.55,174.55,174.46,174.33,174.18,174.06,174.03
2029,174.22,174.36,174.37,174.42,174.45,174.45,174.42,174.36,174.25,174.1,174.02,173.99
2030,174.06,174.35,174.56,174.58,174.62,174.64,174.57,174.47,174.38,174.31,174.28,174.28
2031,174.24,174.35,174.56,174.67,174.72,174.68,174.63,174.53,174.45,174.36,174.26,174.32
2032,174.5,174.66,174.78,174.97,175.12,175.17,175.13,175.01,174.89,174.79,174.71,174.75
2033,174.87,174.87,174.83,174.87,174.91,174.9,174.84,174.76,174.62,174.51,174.43,174.39
2034,174.54,174.67,174.76,174.81,174.81,174.83,174.8,174.74,174.62,174.47,174.35,174.32
2035,174.31,174.37,174.45,174.48,174.59,174.7,174.68,174.59,174.49,174.4,174.37,174.47
2036,174.6,174.63,174.65,174.77,174.82,174.74,174.65,174.56,174.46,174.39,174.33,174.26
2037,174.29,174.39,174.55,174.67,174.78,174.93,174.94,174.81,174.68,174.58,174.5,174.46
2038,174.43,174.42,174.43,174.47,174.57,174.65,174.64,174.57,174.46,174.37,174.32,174.31
2039,174.28,174.28,174.33,174.45,174.59,174.65,174.66,174.64,174.58,174.48,174.49,174.55
2040,174.62,174.65,174.71,174.86,174.97,174.99,174.95,174.93,174.88,174.79,174.76,174.81
2041,174.88,174.98,175.1,175.21,175.31,175.39,175.38,175.29,175.17,175.06,175.02,175.06
2042,175.03,174.92,174.91,174.98,175,175.02,175.01,174.99,174.97,174.89,174.8,174.73
2043,174.73,174.8,174.97,175.15,175.18,175.15,175.12,175.02,174.91,174.76,174.65,174.65
2044,174.92,175.09,175.16,175.37,175.41,175.29,175.14,175.03,174.9,174.74,174.67,174.65
2045,174.61,174.64,174.75,174.87,174.91,174.91,174.86,174.77,174.67,174.52,174.41,174.39
2046,174.4,174.43,174.51,174.61,174.79,174.93,174.92,174.84,174.71,174.62,174.59,174.6
2047,174.62,174.65,174.74,174.85,174.97,174.98,174.9,174.81,174.71,174.62,174.67,174.75
2048,174.72,174.72,174.82,174.96,174.96,174.88,174.82,174.72,174.62,174.52,174.48,174.55
2049,174.62,174.69,174.76,174.81,174.82,174.79,174.75,174.68,174.61,174.47,174.35,174.33
2050,174.31,174.46,174.65,174.75,174.9,175.04,175.05,174.97,174.89,174.8,174.69,174.67
2051,174.69,174.63,174.63,174.7,174.71,174.65,174.59,174.5,174.37,174.25,174.17,174.14
2052,174.23,174.32,174.35,174.42,174.45,174.41,174.35,174.29,174.2,174.15,174.15,174.14
2053,174.15,174.24,174.44,174.6,174.67,174.71,174.7,174.65,174.54,174.43,174.35,174.38
2054,174.61,174.74,174.75,174.83,174.94,175.03,175.04,174.96,174.85,174.74,174.66,174.66
2055,174.68,174.75,174.83,175.01,175.19,175.19,175.12,175.01,174.88,174.71,174.6,174.58
2056,174.63,174.67,174.75,174.92,174.98,174.93,174.89,174.82,174.7,174.6,174.55,174.59
2057,174.65,174.64,174.62,174.65,174.67,174.66,174.61,174.56,174.46,174.33,174.27,174.29
2058,174.36,174.43,174.53,174.61,174.67,174.67,174.6,174.52,174.41,174.3,174.25,174.29
2059,174.41,174.47,174.49,174.64,174.73,174.7,174.65,174.58,174.47,174.36,174.26,174.2
2060,174.19,174.21,174.34,174.5,174.52,174.48,174.43,174.37,174.27,174.15,174.08,174.05
2061,174.05,174.05,174.22,174.48,174.55,174.53,174.48,174.43,174.33,174.22,174.18,174.34
2062,174.48,174.53,174.58,174.62,174.65,174.65,174.64,174.54,174.43,174.32,174.22,174.25
2063,174.32,174.32,174.55,174.77,174.81,174.84,174.81,174.77,174.69,174.56,174.47,174.51
2064,174.56,174.59,174.63,174.68,174.71,174.7,174.68,174.62,174.51,174.36,174.26,174.32
2065,174.4,174.38,174.41,174.48,174.54,174.56,174.53,174.47,174.37,174.3,174.25,174.29
2066,174.38,174.41,174.57,174.79,174.83,174.79,174.77,174.75,174.71,174.58,174.47,174.47
2067,174.63,174.87,175.05,175.15,175.2,175.22,175.16,175.03,174.9,174.79,174.73,174.77
2068,174.77,174.67,174.65,174.74,174.77,174.74,174.69,174.61,174.52,174.4,174.33,174.31
2069,174.3,174.33,174.44,174.65,174.8,174.81,174.8,174.73,174.65,174.61,174.62,174.64
2070,174.62,174.63,174.72,174.79,174.78,174.73,174.68,174.59,174.49,174.37,174.27,174.25
2071,174.33,174.45,174.54,174.67,174.8,174.82,174.78,174.72,174.64,174.58,174.52,174.53
2072,174.6,174.58,174.64,174.79,174.85,174.84,174.84,174.79,174.68,174.58,174.54,174.65
2073,174.71,174.68,174.69,174.72,174.73,174.68,174.63,174.6,174.54,174.45,174.43,174.43
2074,174.49,174.52,174.56,174.67,174.7,174.67,174.64,174.57,174.46,174.36,174.27,174.24
2075,174.32,174.39,174.51,174.67,174.82,174.91,174.86,174.81,174.74,174.63,174.6,174.62
2076,174.61,174.66,174.74,174.81,174.86,174.86,174.81,174.71,174.59,174.48,174.42,174.42
2077,174.4,174.38,174.5,174.73,174.84,174.81,174.8,174.75,174.63,174.53,174.45,174.41
2078,174.46,174.68,174.83,174.87,174.9,174.85,174.82,174.77,174.68,174.6,174.57,174.68
2079,174.95,175.06,175.13,175.32,175.47,175.53,175.45,175.29,175.14,175.01,174.87,174.79
2080,174.77,174.73,174.73,174.89,175.13,175.37,175.44,175.3,175.11,174.93,174.86,174.81
2081,174.85,174.97,175,175.02,175.02,174.97,174.9,174.8,174.67,174.55,174.44,174.39
2082,174.44,174.6,174.8,175.04,175.16,175.11,175.02,174.91,174.81,174.71,174.63,174.65
2083,174.67,174.69,174.73,174.84,174.93,174.93,174.9,174.83,174.75,174.65,174.58,174.57
2084,174.63,174.67,174.72,174.83,174.83,174.83,174.84,174.79,174.7,174.62,174.73,174.94
2085,175.01,175,175.05,175.22,175.32,175.27,175.2,175.09,174.96,174.82,174.74,174.69
2086,174.66,174.68,174.79,174.93,174.95,174.89,174.83,174.76,174.66,174.56,174.51,174.53
2087,174.56,174.61,174.71,174.83,174.91,174.9,174.85,174.78,174.69,174.57,174.5,174.51
2088,174.54,174.78,175.01,175,175,174.98,174.94,174.87,174.75,174.62,174.56,174.59
2089,174.62,174.63,174.66,174.71,174.74,174.72,174.67,174.58,174.46,174.31,174.23,174.22
2090,174.19,174.25,174.4,174.53,174.57,174.58,174.57,174.51,174.47,174.37,174.27,174.28
