"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,175.6,175.64,175.72,175.82,175.84,175.86,175.86,175.84,175.78,175.7,175.64,175.63
2022,175.64,175.63,175.79,175.83,175.87,175.9,175.85,175.77,175.68,175.58,175.49,175.46
2023,175.44,175.47,175.57,175.72,175.79,175.82,175.75,175.66,175.51,175.44,175.34,175.36
2024,175.3,175.27,175.37,175.51,175.58,175.61,175.6,175.57,175.49,175.39,175.33,175.27
2025,175.3,175.42,175.46,175.49,175.51,175.53,175.54,175.53,175.48,175.45,175.43,175.4
2026,175.3,175.28,175.35,175.49,175.56,175.58,175.55,175.52,175.48,175.49,175.61,175.64
2027,175.68,175.64,175.65,175.69,175.74,175.72,175.71,175.67,175.61,175.58,175.61,175.56
2028,175.56,175.75,175.81,175.86,175.9,175.87,175.84,175.78,175.69,175.58,175.49,175.42
2029,175.41,175.38,175.53,175.63,175.61,175.56,175.51,175.49,175.45,175.4,175.39,175.46
2030,175.4,175.31,175.37,175.4,175.39,175.36,175.34,175.3,175.24,175.13,175.04,174.97
2031,174.92,174.92,174.93,174.92,174.94,174.98,174.96,174.89,174.78,174.69,174.79,174.93
2032,174.83,174.75,174.96,175.15,175.14,175.13,175.14,175.09,175.06,175.04,174.98,175.03
2033,175,175.05,175.09,175.16,175.19,175.18,175.14,175.08,175.02,174.96,174.9,174.84
2034,174.8,174.84,174.87,174.99,175.04,175.11,175.15,175.1,175.03,174.95,174.94,174.91
2035,174.87,174.86,174.96,175.01,175.05,175.12,175.18,175.18,175.16,175.1,174.98,174.95
2036,174.9,174.93,175.02,175.02,175.03,175.01,174.98,174.95,174.89,174.79,174.75,174.69
2037,174.61,174.57,174.63,174.7,174.72,174.71,174.71,174.72,174.68,174.6,174.54,174.48
2038,174.46,174.48,174.51,174.56,174.61,174.6,174.58,174.56,174.49,174.44,174.43,174.37
2039,174.34,174.34,174.49,174.57,174.66,174.73,174.74,174.73,174.7,174.66,174.72,174.72
2040,174.71,174.71,174.8,174.92,174.96,174.98,174.99,174.98,174.95,174.98,174.98,174.95
2041,174.92,174.9,174.97,174.99,175.01,175.02,175.01,175,174.98,174.93,174.87,174.91
2042,174.87,174.86,174.9,174.96,174.98,175.06,175.07,175.01,174.98,174.91,174.83,174.82
2043,174.83,174.86,174.9,174.89,175.03,175.06,175.06,175.01,174.91,174.79,174.69,174.66
2044,174.67,174.84,174.89,174.91,174.96,174.98,175.01,174.98,174.91,174.83,174.73,174.87
2045,174.84,174.79,174.86,174.96,174.99,174.99,174.95,174.95,174.93,174.84,174.75,174.71
2046,174.67,174.66,174.87,175.04,175.06,175.04,175,174.96,174.87,174.81,174.8,174.8
2047,174.75,174.75,174.88,175,175.05,175.04,175.03,175,174.96,175.01,175.01,175.1
2048,175.07,175.01,174.99,175.05,175.06,175.04,174.99,174.96,174.94,174.89,174.84,174.8
2049,174.78,174.85,174.94,175.04,175.1,175.07,175.08,175.09,175.07,175.02,174.96,174.91
2050,174.86,174.94,174.98,175.06,175.29,175.38,175.4,175.38,175.32,175.27,175.24,175.22
2051,175.24,175.32,175.37,175.45,175.45,175.41,175.37,175.34,175.3,175.26,175.22,175.2
2052,175.17,175.19,175.32,175.46,175.61,175.72,175.77,175.77,175.7,175.65,175.62,175.61
