"","for.Jan.Sup.NBS","for.Feb.Sup.NBS","for.Mar.Sup.NBS","for.Apr.Sup.NBS","for.May.Sup.NBS","for.Jun.Sup.NBS","for.Jul.Sup.NBS","for.Aug.Sup.NBS","for.Sep.Sup.NBS","for.Oct.Sup.NBS","for.Nov.Sup.NBS","for.Dec.Sup.NBS"
"1",-38.5501979138957,-20.3576896265732,30.3712228470808,96.2854078060233,117.085807106667,154.914664890213,127.310257220098,63.5657170115343,69.1423733628119,36.361202356915,-9.87399171036823,-27.7723812012289
"2",-41.6879768686461,5.1071112658167,1.836648515074,101.712395183073,105.16258965569,109.470702171471,225.429295422597,86.2606948357945,104.804563861099,26.094657369808,38.0833392993693,-33.0905572529645
"3",-15.7428047098371,32.5624690027792,85.1718755941359,134.834871321689,183.431935678571,117.136305063369,90.3705313805291,11.5540649474532,76.9235665146404,102.153567668415,26.1994627679049,17.2381788960122
"4",11.2924998681702,-13.1831299581002,-11.21186857871,103.128315344712,175.651703847667,185.950897606467,97.1485276035441,87.2522549751481,14.8597864937315,-17.4125675193741,17.9329983207843,-67.0966507649368
"5",-28.0183503329659,40.6357528483995,47.251920558776,97.4906406771839,148.786953317981,147.434593919648,76.0885648227644,92.829272971573,110.949951774729,126.015386724004,38.818706856887,-27.3898466431609
"6",-14.9853893268195,9.0305316955756,43.7708852691458,135.50025144546,195.359368800443,217.967968118918,121.710039924934,46.1643365652183,59.9247564710249,53.7077780116047,-2.12015087850661,-41.0273231818561
"7",-1.49482136436095,26.8170924098777,35.9187948524065,75.0268548919589,73.3696703404028,84.9103303332259,104.886487905139,67.788353287139,122.197728322969,59.6432922278588,-24.155003750043,-37.6137608874277
"8",-20.27899712197,-24.1716610496934,6.43672889109342,126.825372597221,155.478729243761,127.874546727767,95.1501128325847,71.5903276560306,191.977505924512,172.709267802595,28.1979205547054,27.7537953949001
"9",-65.1795346612171,-36.4801882548246,60.4287196189595,120.258004849859,123.362588793776,123.55738488115,112.012535906072,86.1423167576617,112.182724687695,0.717168655618407,-46.6637715070995,-53.967816666358
"10",-16.3633633967375,-11.2096728020303,40.9311088296163,120.383511153288,96.2956724480378,72.3629415120705,130.136854317727,49.2304704397685,57.3160424899934,37.7993152046703,19.242914900198,-30.3919182242558
"11",-4.81685112478234,22.2371760745415,36.7295770394292,91.0692892325393,191.623432965328,132.073258166852,132.340430032117,77.9279222462361,8.1428556655618,-42.0097066166225,-73.2003941567603,-36.6732763777685
"12",-38.5478989289033,-8.6895773308517,69.5912665631085,85.2913316598141,309.308427023049,153.004076903898,99.5070412622727,29.0012593651403,16.8350703752184,-18.6452734781799,-63.622957287776,-51.5584569948455
"13",-33.7497819806961,3.6077284882682,3.51557247068651,143.789966305205,158.969736777805,152.295162490602,90.0004565273637,131.725308031951,-31.6162540184986,50.1091899190107,-6.09772304342357,-56.3369064537709
"14",-43.0320221797849,-20.3275284925719,84.054555721975,150.860261093552,201.720575116672,109.442646231476,134.436796907027,82.8996148466748,93.5099595458901,62.2721161584663,18.7993612350396,-47.997423262066
"15",6.88116672344304,30.0706612808993,2.98892759126416,57.0537463966938,202.232819996494,78.3159665410976,138.950128382214,160.220874930576,122.490568081383,-11.2719624442484,28.0713893864013,-72.1177551438711
"16",-16.5256842502689,8.08165356687008,1.93259147336623,116.285153749995,290.160961409136,112.672087170196,69.3741653366328,119.92871887161,65.3141249752884,41.478004726327,50.7754097796639,-22.3357414402482
"17",-6.34600171304623,0.6713433915656,5.06460930379036,180.658965184195,198.329147652237,129.109939337759,166.400911735631,198.859144375004,142.648541146355,114.636091723436,49.9557938344099,6.71814425450153
"18",-7.69412552378803,21.1051108232176,6.29022360425211,72.5765128637034,125.480154131727,107.888135717293,115.727449548572,188.032784297603,126.116303518276,8.57125489534227,12.5004039409126,-29.4655936122561
"19",-69.1835001990872,-13.1111225624377,44.0961528554319,133.430108855905,109.607952095213,197.166525125765,195.251567655131,36.4979123914023,54.7602730010898,58.8353376670015,-19.6671749063565,-55.3279455155215
"20",-48.7522159952366,11.2362648439709,26.7307038084843,166.631840644732,223.238587466231,111.265699427674,132.513310096506,101.627041248781,63.300251103413,-7.7367357079674,-44.7454026002867,-22.5968593568787
"21",-21.0774712996845,-26.5336696328344,35.4913700509551,147.141873000007,135.935083286444,110.376586292417,108.959168495381,77.2045891588218,86.3574582109277,-14.7722513716636,-28.8889797147866,-20.8221239249459
"22",-16.4928478763641,43.4227579323266,42.3606213808772,55.474978507723,132.92286081414,127.662310875162,97.5801965838124,129.118090635866,59.4561762358476,12.0865776384452,44.4255690310502,-50.6358877167631
"23",-21.3828493331504,-30.8592284525273,80.3750770933065,85.1742496921815,145.200927683757,123.641803532201,89.8388976177204,61.1825885852837,26.8775415163279,3.65733716883936,-16.9322251131975,-49.9290312475207
"24",-24.084710426299,-2.38540306030123,20.6054087103252,113.951338849108,120.865132579509,99.0872941169693,96.7663150291581,90.642955890269,99.3169667558921,137.0475648289,-27.1094299697866,-26.8263396536714
"25",-2.53354222408683,22.2797091423211,-17.0388252975832,175.543811940979,121.041868702171,118.136804371648,92.7744125749822,40.1181362055319,114.375949941019,32.3251622616377,31.9673444438522,-52.5131018098564
"26",-7.79991936903433,39.5260849409608,1.91030107613026,98.0088382038527,133.451109621913,166.09826742867,73.9593299195467,74.2831247091809,-26.3260978217979,4.08192854735704,-46.0128654286035,-61.3627734314306
"27",-52.1175001961794,-21.1626730368391,4.57963547149656,51.1275590106901,150.235304793252,197.436745681492,86.4300224204325,71.0778331581194,-58.1850537653002,14.2734155900176,-85.6741508570825,-55.8136446520712
"28",5.67378239940317,-34.6969522996912,-4.0776462199892,90.5329225176176,104.880710827736,112.533515789779,102.391546072335,24.6490380764296,7.70345698036898,-49.9294150547418,-28.1053297634687,-55.8315481461575
"29",-61.0072986787168,61.7529074507519,58.1879089937871,47.8655503198785,82.5121933561243,133.436332862388,136.257783350849,81.1828109067002,171.556604002358,89.3028034701152,56.4891772532924,-48.3779384781949
"30",-49.3423591598218,9.7342629365847,20.2968224362839,103.503192646546,165.816924055181,156.013933225054,88.7157741129349,162.756645699271,78.3958686355669,11.0427574749523,44.0869006427762,-0.624337923084738
"31",-14.5333115872669,11.9904047703556,93.9398783029058,79.5674595998069,173.678847116878,195.637250573657,104.534368749887,75.9616569086945,116.05723786117,113.82560840431,0.894801046115795,-52.0962867292017
"32",-5.08533667239222,7.2146573866126,15.7136543615957,94.3856743469585,186.246181378552,104.883500907913,98.4435264767289,89.7921002819711,53.9413307846189,11.6905538012653,-21.3823429577221,-19.7003332348329
"33",-22.5685744603423,-27.0141930369749,5.71978398606998,185.923048653333,161.30731043332,186.339532495482,235.414624134109,90.2264418644777,120.830398789825,17.5518436733351,-29.8621304423831,-44.021168351762
"34",-44.6220877942123,37.5042201230737,7.29544160350755,142.295611898473,140.182902403547,153.730599224075,94.4029404124923,76.6015244769603,50.501991444717,18.1868605581186,-28.6615271254933,-25.8314391860089
