"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,177.12,177.16,177.22,177.31,177.48,177.59,177.61,177.62,177.6,177.57,177.54,177.49
2022,177.44,177.39,177.38,177.45,177.53,177.59,177.62,177.61,177.55,177.48,177.42,177.36
2023,177.29,177.23,177.19,177.23,177.28,177.32,177.37,177.37,177.36,177.34,177.27,177.19
2024,177.1,177.01,176.95,176.95,176.96,177,177.07,177.11,177.08,177.03,176.94,176.82
2025,176.76,176.7,176.72,176.79,176.87,176.96,177.01,177,176.97,176.95,176.92,176.88
2026,176.81,176.73,176.72,176.75,176.82,176.89,176.93,176.97,177.01,176.99,176.89,176.8
2027,176.75,176.74,176.74,176.79,176.86,176.89,176.9,176.89,176.83,176.72,176.61,176.5
2028,176.44,176.44,176.48,176.54,176.6,176.64,176.64,176.61,176.55,176.49,176.46,176.43
2029,176.38,176.33,176.33,176.4,176.47,176.54,176.6,176.65,176.64,176.58,176.55,176.52
2030,176.48,176.48,176.55,176.66,176.8,176.95,177.04,177.05,176.99,176.93,176.87,176.78
2031,176.72,176.74,176.8,176.85,176.91,176.96,176.96,176.94,176.9,176.81,176.7,176.63
2032,176.62,176.64,176.66,176.68,176.71,176.71,176.7,176.65,176.6,176.55,176.52,176.47
2033,176.43,176.44,176.49,176.57,176.65,176.7,176.72,176.71,176.67,176.62,176.6,176.58
2034,176.56,176.59,176.69,176.83,176.94,176.99,177.04,177.08,177.1,177.09,177.05,177.02
2035,177.02,176.99,177.01,177.09,177.15,177.19,177.22,177.2,177.14,177.1,177.07,176.98
2036,176.88,176.83,176.81,176.89,177.05,177.17,177.21,177.19,177.15,177.1,177.02,176.94
2037,176.89,176.87,176.88,176.96,177.03,177.04,177.06,177.07,177.1,177.06,176.97,176.9
2038,176.83,176.87,176.93,177.03,177.18,177.27,177.32,177.3,177.24,177.22,177.23,177.22
2039,177.2,177.2,177.23,177.28,177.37,177.49,177.55,177.56,177.52,177.42,177.28,177.13
2040,177.04,177.05,177.03,177.02,177.07,177.13,177.14,177.11,177.08,177.02,176.98,176.92
2041,176.85,176.78,176.79,176.82,176.86,176.91,176.93,176.91,176.83,176.75,176.68,176.63
2042,176.6,176.58,176.57,176.65,176.76,176.82,176.85,176.86,176.82,176.76,176.68,176.57
2043,176.52,176.56,176.61,176.7,176.89,177.03,177.08,177.08,177.07,177.01,176.9,176.84
2044,176.79,176.76,176.78,176.84,176.95,177.03,177.05,177.06,177.02,176.94,176.87,176.83
2045,176.82,176.8,176.83,176.93,177.05,177.14,177.21,177.24,177.24,177.29,177.35,177.33
2046,177.26,177.22,177.15,177.17,177.25,177.26,177.28,177.29,177.26,177.21,177.16,177.11
2047,177.11,177.12,177.09,177.12,177.19,177.24,177.25,177.24,177.21,177.2,177.2,177.13
2048,177.09,177.05,177.04,177.14,177.3,177.42,177.46,177.47,177.48,177.53,177.49,177.39
2049,177.32,177.29,177.29,177.32,177.38,177.39,177.38,177.33,177.24,177.17,177.15,177.09
2050,177.06,177.07,177.07,177.15,177.27,177.33,177.33,177.27,177.17,177.09,177.04,176.96
2051,176.89,176.86,176.85,176.89,176.99,177.06,177.1,177.16,177.2,177.2,177.18,177.12
2052,177.05,177.02,177.02,177.11,177.2,177.25,177.31,177.34,177.32,177.23,177.11,177
2053,176.93,176.87,176.83,176.87,176.92,176.95,176.95,176.93,176.86,176.77,176.69,176.62
2054,176.56,176.55,176.58,176.63,176.7,176.75,176.74,176.75,176.77,176.74,176.68,176.59
2055,176.53,176.52,176.51,176.54,176.6,176.66,176.7,176.71,176.66,176.61,176.58,176.54
2056,176.52,176.5,176.5,176.62,176.79,176.92,176.97,176.99,177.01,177.06,177.04,176.95
2057,176.92,176.93,177.02,177.15,177.24,177.29,177.28,177.28,177.28,177.25,177.21,177.16
2058,177.12,177.09,177.08,177.13,177.26,177.36,177.4,177.41,177.37,177.34,177.31,177.24
2059,177.2,177.23,177.29,177.35,177.39,177.41,177.4,177.4,177.35,177.3,177.31,177.3
2060,177.27,177.29,177.39,177.53,177.65,177.69,177.68,177.65,177.59,177.52,177.44,177.37
2061,177.31,177.26,177.25,177.3,177.38,177.44,177.48,177.47,177.43,177.39,177.33,177.26
2062,177.22,177.19,177.16,177.23,177.36,177.44,177.49,177.47,177.4,177.36,177.29,177.2
2063,177.14,177.08,177.04,177.07,177.19,177.33,177.39,177.38,177.34,177.43,177.56,177.51
2064,177.4,177.35,177.33,177.38,177.44,177.45,177.46,177.42,177.35,177.29,177.22,177.16
2065,177.12,177.08,177.08,177.14,177.27,177.38,177.42,177.42,177.38,177.34,177.3,177.22
2066,177.16,177.15,177.23,177.32,177.41,177.51,177.55,177.53,177.46,177.35,177.24,177.13
2067,177.03,176.98,176.94,176.96,177.05,177.15,177.23,177.28,177.27,177.24,177.24,177.22
2068,177.19,177.15,177.16,177.21,177.26,177.32,177.35,177.34,177.31,177.3,177.28,177.22
2069,177.14,177.1,177.1,177.11,177.12,177.11,177.1,177.07,177.03,176.97,176.88,176.79
2070,176.75,176.74,176.76,176.86,177,177.09,177.17,177.22,177.24,177.23,177.21,177.19
2071,177.14,177.12,177.12,177.16,177.25,177.3,177.32,177.32,177.31,177.23,177.13,177.01
2072,176.9,176.86,176.87,176.93,176.97,176.97,176.97,176.96,176.9,176.87,176.89,176.83
2073,176.76,176.73,176.77,176.87,176.97,177.04,177.08,177.07,176.99,176.91,176.84,176.74
