"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
2021,183.52,183.45,183.42,183.47,183.53,183.54,183.57,183.63,183.66,183.63,183.57,183.49
2022,183.39,183.33,183.3,183.32,183.34,183.44,183.52,183.57,183.58,183.53,183.47,183.39
2023,183.29,183.22,183.17,183.19,183.29,183.39,183.47,183.56,183.65,183.7,183.67,183.57
2024,183.48,183.42,183.36,183.34,183.4,183.49,183.55,183.61,183.65,183.64,183.56,183.45
2025,183.34,183.26,183.23,183.27,183.37,183.48,183.55,183.61,183.67,183.7,183.65,183.57
2026,183.48,183.39,183.33,183.36,183.46,183.56,183.64,183.72,183.77,183.72,183.65,183.57
2027,183.46,183.38,183.33,183.34,183.42,183.48,183.53,183.6,183.64,183.62,183.58,183.53
2028,183.44,183.36,183.32,183.34,183.43,183.52,183.55,183.56,183.57,183.58,183.55,183.48
2029,183.4,183.35,183.29,183.27,183.33,183.41,183.46,183.49,183.52,183.49,183.42,183.34
2030,183.25,183.18,183.16,183.2,183.29,183.36,183.42,183.46,183.45,183.41,183.37,183.31
2031,183.25,183.2,183.16,183.17,183.24,183.34,183.42,183.44,183.42,183.39,183.33,183.25
2032,183.18,183.12,183.06,183.02,183.04,183.09,183.17,183.23,183.27,183.29,183.26,183.21
2033,183.13,183.06,183.04,183.08,183.15,183.25,183.33,183.38,183.39,183.4,183.37,183.28
2034,183.2,183.18,183.18,183.24,183.4,183.55,183.63,183.65,183.7,183.77,183.76,183.71
2035,183.62,183.52,183.46,183.46,183.51,183.59,183.64,183.67,183.67,183.64,183.56,183.47
2036,183.37,183.3,183.24,183.25,183.35,183.48,183.6,183.66,183.63,183.58,183.52,183.41
2037,183.31,183.23,183.18,183.2,183.32,183.47,183.66,183.77,183.79,183.77,183.73,183.64
2038,183.51,183.41,183.32,183.31,183.42,183.54,183.6,183.64,183.65,183.64,183.59,183.51
2039,183.42,183.36,183.33,183.34,183.43,183.52,183.58,183.63,183.64,183.61,183.54,183.45
2040,183.35,183.25,183.21,183.23,183.3,183.38,183.44,183.46,183.46,183.39,183.29,183.18
2041,183.08,183.04,183.03,183.06,183.12,183.17,183.21,183.25,183.23,183.17,183.15,183.09
2042,183.02,182.97,182.96,182.99,183.07,183.16,183.23,183.27,183.28,183.22,183.15,183.07
2043,182.99,182.94,182.93,182.95,183.05,183.18,183.24,183.25,183.25,183.23,183.23,183.17
2044,183.07,183.02,183.01,183.04,183.17,183.31,183.4,183.45,183.46,183.43,183.39,183.31
2045,183.22,183.13,183.07,183.06,183.13,183.21,183.28,183.38,183.46,183.46,183.36,183.24
2046,183.15,183.09,183.04,183.04,183.07,183.15,183.24,183.31,183.38,183.39,183.33,183.26
2047,183.19,183.13,183.08,183.09,183.19,183.32,183.42,183.52,183.52,183.45,183.38,183.28
2048,183.17,183.13,183.12,183.11,183.16,183.25,183.32,183.32,183.3,183.32,183.31,183.23
2049,183.15,183.08,183.04,183.1,183.2,183.3,183.41,183.47,183.47,183.44,183.4,183.33
2050,183.24,183.17,183.15,183.18,183.29,183.39,183.44,183.47,183.48,183.43,183.36,183.27
2051,183.19,183.14,183.11,183.12,183.22,183.34,183.43,183.51,183.56,183.58,183.54,183.46
2052,183.37,183.31,183.27,183.27,183.36,183.46,183.51,183.53,183.55,183.56,183.52,183.43
2053,183.33,183.25,183.19,183.19,183.27,183.4,183.51,183.55,183.57,183.58,183.53,183.43
2054,183.32,183.25,183.21,183.21,183.26,183.34,183.39,183.39,183.38,183.34,183.32,183.27
2055,183.2,183.15,183.09,183.1,183.19,183.29,183.36,183.41,183.42,183.39,183.32,183.22
2056,183.14,183.09,183.06,183.08,183.14,183.22,183.31,183.33,183.34,183.34,183.31,183.23
2057,183.11,183.06,183.05,183.08,183.16,183.21,183.25,183.29,183.3,183.26,183.17,183.07
2058,182.98,182.93,182.91,182.95,183.05,183.19,183.31,183.37,183.43,183.45,183.4,183.32
2059,183.22,183.14,183.07,183.04,183.07,183.15,183.23,183.24,183.23,183.19,183.13,183.04
2060,182.93,182.89,182.91,182.95,183.02,183.11,183.22,183.29,183.29,183.24,183.14,183
2061,182.9,182.85,182.82,182.86,182.98,183.11,183.25,183.34,183.35,183.33,183.26,183.16
2062,183.09,183.04,182.99,183.02,183.16,183.3,183.36,183.36,183.36,183.34,183.28,183.21
2063,183.13,183.06,183,183.01,183.11,183.22,183.31,183.41,183.46,183.46,183.41,183.31
2064,183.19,183.13,183.12,183.12,183.22,183.32,183.36,183.38,183.39,183.41,183.39,183.33
2065,183.25,183.18,183.15,183.16,183.21,183.28,183.34,183.36,183.4,183.44,183.44,183.37
2066,183.24,183.15,183.11,183.12,183.2,183.31,183.42,183.47,183.46,183.43,183.36,183.24
2067,183.14,183.09,183.06,183.07,183.13,183.21,183.27,183.3,183.3,183.27,183.24,183.17
2068,183.06,183,182.96,182.96,183.06,183.18,183.25,183.28,183.31,183.33,183.3,183.2
2069,183.11,183.04,183.01,183.04,183.11,183.21,183.29,183.35,183.4,183.43,183.4,183.32
2070,183.22,183.12,183.06,183.08,183.15,183.23,183.32,183.41,183.47,183.48,183.43,183.34
2071,183.27,183.2,183.16,183.18,183.21,183.26,183.32,183.36,183.37,183.36,183.35,183.3
2072,183.22,183.16,183.12,183.12,183.17,183.23,183.28,183.33,183.34,183.3,183.24,183.18
2073,183.14,183.09,183.06,183.08,183.16,183.29,183.37,183.44,183.46,183.43,183.38,183.31
2074,183.2,183.14,183.12,183.15,183.25,183.35,183.41,183.48,183.52,183.54,183.53,183.43
2075,183.31,183.23,183.19,183.18,183.24,183.3,183.33,183.36,183.38,183.38,183.35,183.29
2076,183.21,183.17,183.18,183.21,183.28,183.37,183.45,183.52,183.56,183.56,183.53,183.48
2077,183.39,183.28,183.21,183.19,183.23,183.28,183.36,183.42,183.48,183.48,183.42,183.34
2078,183.23,183.14,183.09,183.12,183.2,183.32,183.45,183.52,183.52,183.47,183.38,183.26
2079,183.14,183.06,183.03,183.11,183.22,183.32,183.41,183.45,183.45,183.46,183.47,183.42
2080,183.32,183.25,183.21,183.26,183.35,183.41,183.5,183.57,183.6,183.61,183.58,183.51
2081,183.42,183.35,183.31,183.32,183.4,183.5,183.57,183.58,183.6,183.59,183.52,183.42
2082,183.33,183.25,183.21,183.22,183.32,183.43,183.52,183.6,183.65,183.63,183.54,183.45
2083,183.37,183.31,183.27,183.27,183.34,183.4,183.46,183.55,183.6,183.6,183.58,183.51
2084,183.41,183.34,183.32,183.34,183.42,183.48,183.53,183.58,183.58,183.56,183.51,183.42
2085,183.34,183.27,183.22,183.25,183.33,183.44,183.55,183.61,183.66,183.63,183.52,183.42
2086,183.31,183.25,183.21,183.24,183.37,183.51,183.58,183.57,183.53,183.46,183.36,183.27
2087,183.17,183.11,183.09,183.13,183.21,183.28,183.32,183.37,183.41,183.41,183.39,183.33
